table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10855,r001,All locations,All locations,,,1,6172465,1095957,3436961,1020424,462769,148648,7707
10855,r002,All locations -> Alabama,All locations,Alabama,,2,70588,3609,0,54120,12859,0,0
10855,r003,All locations -> Alaska,All locations,Alaska,,2,12386,12176,0,0,210,0,0
10855,r004,All locations -> Arizona,All locations,Arizona,,2,60008,66,0.05,0,12453,47488,0
10855,r005,All locations -> Arkansas,All locations,Arkansas,,2,20096,1660,0,0,18436,0,0
10855,r006,All locations -> California,All locations,California,,2,888960,42614,803111,9944,21202,12090,0
10855,r007,All locations -> Colorado,All locations,Colorado,,2,75381,20062,48601,984,5733,0,0
10855,r008,All locations -> Connecticut,All locations,Connecticut,,2,13644,0,0,12,13632,0,0
10855,r009,All locations -> Delaware,All locations,Delaware,,2,1275,0,0,0,1275,0,0
10855,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,162890,151579,0,1692,0,9618,0
10855,r011,All locations -> Florida,All locations,Florida,,2,77920,36459,0,17947,23514,0,0
10855,r012,All locations -> Georgia,All locations,Georgia,,2,9749,1313,0,1845,6591,0,0
10855,r013,All locations -> Hawaii,All locations,Hawaii,,2,5401,4800,0,0,601,0,0
10855,r014,All locations -> Idaho,All locations,Idaho,,2,818143,1400,348252,454520,12492,0,1479
10855,r015,All locations -> Illinois,All locations,Illinois,,2,712957,11216,677692,5633,18416,0,0
10855,r016,All locations -> Indiana,All locations,Indiana,,2,689,0,0,0,689,0,0
10855,r017,All locations -> Iowa,All locations,Iowa,,2,39016,0,29418,0,9598,0,0
10855,r018,All locations -> Kansas,All locations,Kansas,,2,10103,8497,0,2,1604,0,0
10855,r019,All locations -> Kentucky,All locations,Kentucky,,2,13669,10422,0,0,3247,0,0
10855,r020,All locations -> Louisiana,All locations,Louisiana,,2,57947,14161,0,26769,16954,63,0
10855,r021,All locations -> Maine,All locations,Maine,,2,220,0,0,0,220,0,0
10855,r022,All locations -> Maryland,All locations,Maryland,,2,478016,452646,9621,8701,7048,0,0
10855,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,91672,0,50538,94,35994,5046,0
10855,r024,All locations -> Michigan,All locations,Michigan,,2,10193,70,0,10,10113,0,0
10855,r025,All locations -> Minnesota,All locations,Minnesota,,2,1257,0,0,277,980,0,0
10855,r026,All locations -> Mississippi,All locations,Mississippi,,2,15045,12303,0,0,2742,0,0
10855,r027,All locations -> Missouri,All locations,Missouri,,2,20017,4000,0,4487,11530,0,0
10855,r028,All locations -> Montana,All locations,Montana,,2,1094,0,0,0,1094,0,0
10855,r029,All locations -> Nebraska,All locations,Nebraska,,2,24265,20000,0,0,4265,0,0
10855,r030,All locations -> Nevada,All locations,Nevada,,2,167221,31,0,165819,1371,0,0
10855,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,5738,4654,0,54,1030,0,0
10855,r032,All locations -> New Jersey,All locations,New Jersey,,2,77111,722,51074,16350,8965,0,0
10855,r033,All locations -> New Mexico,All locations,New Mexico,,2,145352,18572,116539,991,9250,0,0
10855,r034,All locations -> New York,All locations,New York,,2,533455,11329,351013,120000,51113,0,0
10855,r035,All locations -> North Carolina,All locations,North Carolina,,2,12651,2116,0,2927,7608,0,0
10855,r036,All locations -> North Dakota,All locations,North Dakota,,2,0,0,0,0,0,0,0
10855,r037,All locations -> Ohio,All locations,Ohio,,2,73692,0,0,1345,3342,69005,0
10855,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,14583,174,0,9214,5195,0,0
10855,r039,All locations -> Oregon,All locations,Oregon,,2,66546,25723,0,282,40542,0,0
10855,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,20016,1528,0,131,18358,0,0
10855,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,19330,19075,0,255,0,0,0
10855,r042,All locations -> South Carolina,All locations,South Carolina,,2,23864,18014,4977,22,850,0,0
10855,r043,All locations -> South Dakota,All locations,South Dakota,,2,6827,0,0,0,1527,0,5300
