table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal,field_paid_for_by_others_
1459,r001,All states,All states,,1,"['374,685', '  ']","['317,731', '  ']","['56,954', '  ']","['23,772', '  ']",33182,
1459,r002,All states -> Alabama,All states,Alabama,2,"['1,694', '  ']","['868', '  ']","['826', '  ']","['681', '  ']",145,
1459,r003,All states -> Alaska,All states,Alaska,2,"['34', 'e ']","['27', 'e ']","['7', 'e ']","['4', '  ']",3,e 
1459,r004,All states -> Arizona,All states,Arizona,2,"['6,472', '  ']","['4,743', '  ']","['1,730', '  ']","['829', '  ']",900,
1459,r005,All states -> Arkansas,All states,Arkansas,2,"['366', '  ']","['340', '  ']","['27', '  ']","['4', '  ']",22,
1459,r006,All states -> California,All states,California,2,"['117,569', '  ']","['105,769', '  ']","['11,800', '  ']","['5,500', '  ']",6300,
1459,r007,All states -> Colorado,All states,Colorado,2,"['4,355', '  ']","['3,542', '  ']","['813', '  ']","['549', '  ']",265,
1459,r008,All states -> Connecticut,All states,Connecticut,2,"['7,987', '  ']","['6,101', '  ']","['1,886', 'i ']","['1,544', 'i ']",342,
1459,r009,All states -> Delaware,All states,Delaware,2,"['2,069', '  ']","['1,463', '  ']","['605', '  ']","['7', '  ']",598,
1459,r010,All states -> District of Columbia,All states,District of Columbia,2,"['328', '  ']","['230', '  ']","['98', '  ']","['76', '  ']",21,
1459,r011,All states -> Florida,All states,Florida,2,"['6,273', '  ']","['4,441', '  ']","['1,832', 'i ']","['1,209', 'i ']",623,
1459,r012,All states -> Georgia,All states,Georgia,2,"['5,245', '  ']","['4,273', '  ']","['972', 'i ']","['95', 'i ']",877,i 
1459,r013,All states -> Hawaii,All states,Hawaii,2,"['164', '  ']","['114', 'i ']","['49', '  ']","['11', '  ']",38,
1459,r014,All states -> Idaho,All states,Idaho,2,"['1,590', '  ']","['1,398', '  ']","['192', '  ']","['7', '  ']",185,
1459,r015,All states -> Illinois,All states,Illinois,2,"['13,733', '  ']","['11,822', '  ']","['1,911', '  ']","['748', '  ']",1163,
1459,r016,All states -> Indiana,All states,Indiana,2,"['5,949', '  ']","['4,988', '  ']","['961', '  ']","['108', '  ']",853,
1459,r017,All states -> Iowa,All states,Iowa,2,"['2,862', '  ']","['2,225', '  ']","['636', '  ']","['D', '  ']",,
1459,r018,All states -> Kansas,All states,Kansas,2,"['2,204', '  ']","['1,469', '  ']","['735', 'i ']","['32', 'i ']",703,i 
1459,r019,All states -> Kentucky,All states,Kentucky,2,"['1,070', '  ']","['752', '  ']","['317', '  ']","['265', '  ']",53,i 
1459,r020,All states -> Louisiana,All states,Louisiana,2,"['274', '  ']","['228', '  ']","['45', 'i ']","['17', 'i ']",28,e 
1459,r021,All states -> Maine,All states,Maine,2,"['290', '  ']","['261', '  ']","['29', '  ']","['21', '  ']",8,e 
1459,r022,All states -> Maryland,All states,Maryland,2,"['5,676', '  ']","['3,335', '  ']","['2,341', '  ']","['1,877', '  ']",464,
