table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
2473,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,2426882959,560855931,1866027028
2473,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,19763230,8126730,11636500
2473,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,12502109,4540940,7961169
2473,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,17332044,2973198,14358846
2473,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,21098863,5674217,15424646
2473,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,526918585,28877496,498041089
2473,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,36586577,7347294,29239283
2473,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,57241037,15827200,41413837
2473,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3826318,1572165,2254153
2473,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,4222412,2025098,2197314
2473,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,170508724,24512331,145996393
2473,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,18875484,16171100,2704384
2473,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,7325591,3667466,3658125
2473,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,17828263,10596005,7232258
2473,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,17548556,6900290,10648266
2473,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,12357151,6100000,6257151
2473,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,9386675,5215707,4170968
2473,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,12355458,5465441,6890017
2473,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,26668173,6577173,20091000
2473,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,35142225,21317872,13824353
2473,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,32592625,3830784,28761841
2473,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,29107768,2924655,26183113
2473,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,28425439,10952465,17472974
2473,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,8023318,4579680,3443638
2473,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,20150907,6020868,14130039
2473,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,12170278,8869165,3301113
2473,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,15055845,5102079,9953766
2473,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,8794140,4577231,4216909
2473,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,28167688,4371507,23796181
2473,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,7871899,2370078,5501821
2473,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,8432696,715823,7716873
2473,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,23886758,2890436,20996322
2473,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,3585944,2415620,1170324
2473,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,448501735,156961125,291540610
2473,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,32754090,8477781,24276309
2473,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,12140358,2299808,9840550
2473,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,97758379,8126122,89632257
2473,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,29607888,10192859,19415029
2473,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,44222659,17340000,26882659
2473,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,85050999,9903377,75147622
2473,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,5512380,2473315,3039065
2473,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,46983243,23400794,23582449
2473,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,2953214,754880,2198334
2473,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,7439395,5112715,2326680
2473,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,233030466,21003405,212027061
2473,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,7985508,2294696,5690812
2473,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,2730591,2225472,505119
2473,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,29951353,12948118,17003235
2473,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,51963060,14915365,37047695
2473,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,11068061,7579295,3488766
