table_id,row_id,abbreviation,degree_title
4762,r001,PhD,Doctor of Philosophy
4762,r002,DA,Doctor of Arts
4762,r003,DBA ,Doctor of Business Administration
4762,r004,DDes,Doctor of Design
4762,r005,"DEng, DESc, DES",Doctor of Engineering or Engineering Science
4762,r006,DFA ,Doctor of Fine Arts
4762,r007,DHL ,Doctor of Hebrew Letters
4762,r008,DMA ,Doctor of Musical Arts
4762,r009,DME ,Doctor of Music Education
4762,r010,DML ,Doctor of Modern Languages
4762,r011,DNSc ,Doctor of Nursing Science
4762,r012,DPH ,Doctor of Public Health
4762,r013,"DSc, ScD ",Doctor of Science
4762,r014,EdD ,Doctor of Education
4762,r015,JCD ,Doctor of Canon Law
4762,r016,"JSD, SJD ",Doctor of Juridical Science
4762,r017,STD ,Doctor of Sacred Theology
4762,r018,ThD ,Doctor of Theology
