table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3360,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,4473,4619,2488,3.2,-46.1
3360,r002,R&D and R&D plant -> Department of Energy (271),R&D and R&D plant,Department of Energy (271),,,,2,4400,4542,2406,3.2,-47.0
3360,r003,R&D and R&D plant -> Department of Energy (271) -> Energy programs,R&D and R&D plant,Department of Energy (271),Energy programs,,,3,4030,4115,2714,2.1,-34.0
3360,r004,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,Department of Energy (271),Energy programs,Energy efficiency and renewable energy,,4,1871,2054,673,9.8,-67.3
3360,r005,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Fossil energy,R&D and R&D plant,Department of Energy (271),Energy programs,Fossil energy,,4,681,709,721,4.1,1.6
3360,r006,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Nuclear energy,R&D and R&D plant,Department of Energy (271),Energy programs,Nuclear energy,,4,1294,1161,1084,-10.3,-6.6
3360,r007,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Electricity delivery,R&D and R&D plant,Department of Energy (271),Energy programs,Electricity delivery,,4,136,155,174,14.2,12.4
3360,r008,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response",,4,49,36,63,-27.3,76.1
3360,r009,R&D and R&D plant -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>a</sup>,R&D and R&D plant,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>a</sup>,,,3,366,425,-311,16.1,-173.1
3360,r010,R&D and R&D plant -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,Department of Energy (271),Bonneville Power Administration Fund,,,3,4,2,2,-50.0,0.0
3360,r011,R&D and R&D plant -> Nuclear Regulatory Commission (276),R&D and R&D plant,Nuclear Regulatory Commission (276),,,,2,63,69,75,9.5,8.7
3360,r012,R&D and R&D plant -> Tennessee Valley Authority (271),R&D and R&D plant,Tennessee Valley Authority (271),,,,2,10,8,7,-20.0,-12.5
3360,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,4433,4477,2123,1.0,-52.6
3360,r014,R&D and R&D plant -> R&D -> Department of Energy (271),R&D and R&D plant,R&D,Department of Energy (271),,,3,4360,4400,2041,0.9,-53.6
3360,r015,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,,4,3990,3973,2350,-0.4,-40.8
3360,r016,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Energy efficiency and renewable energy,5,1853,2007,638,8.3,-68.2
3360,r017,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Fossil energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Fossil energy,5,659,680,698,3.3,2.6
3360,r018,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Nuclear energy,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Nuclear energy,5,1294,1096,822,-15.3,-25.0
3360,r019,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Electricity delivery,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Electricity delivery,5,136,154,130,13.4,-15.7
3360,r020,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response",5,49,36,63,-27.3,76.1
3360,r021,R&D and R&D plant -> R&D -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>a</sup>,R&D and R&D plant,R&D,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>a</sup>,,4,366,425,-311,16.1,-173.1
3360,r022,R&D and R&D plant -> R&D -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,R&D,Department of Energy (271),Bonneville Power Administration Fund,,4,4,2,2,-50.0,0.0
3360,r023,R&D and R&D plant -> R&D -> Nuclear Regulatory Commission (276),R&D and R&D plant,R&D,Nuclear Regulatory Commission (276),,,3,63,69,75,9.5,8.7
3360,r024,R&D and R&D plant -> R&D -> Tennessee Valley Authority (271),R&D and R&D plant,R&D,Tennessee Valley Authority (271),,,3,10,8,7,-20.0,-12.5
