table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients
1207,r001,All institutions,All institutions,,,1,11455
1207,r002,All institutions -> Foreign or unknown institutions,All institutions,Foreign or unknown institutions,,2,4275
1207,r003,All institutions -> Top 50 U.S. institutions,All institutions,Top 50 U.S. institutions,,2,3669
1207,r004,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Mayaguez",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Mayaguez",3,307
1207,r005,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Rio Piedras",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Rio Piedras",3,270
1207,r006,"All institutions -> Top 50 U.S. institutions -> U. Texas, El Paso",All institutions,Top 50 U.S. institutions,"U. Texas, El Paso",3,186
1207,r007,All institutions -> Top 50 U.S. institutions -> U. Florida,All institutions,Top 50 U.S. institutions,U. Florida,3,157
1207,r008,"All institutions -> Top 50 U.S. institutions -> U. California, Los Angeles",All institutions,Top 50 U.S. institutions,"U. California, Los Angeles",3,132
1207,r009,All institutions -> Top 50 U.S. institutions -> Florida International U.,All institutions,Top 50 U.S. institutions,Florida International U.,3,128
1207,r010,"All institutions -> Top 50 U.S. institutions -> U. California, Berkeley",All institutions,Top 50 U.S. institutions,"U. California, Berkeley",3,126
1207,r011,"All institutions -> Top 50 U.S. institutions -> U. Texas, Austin",All institutions,Top 50 U.S. institutions,"U. Texas, Austin",3,119
1207,r012,"All institutions -> Top 50 U.S. institutions -> U. California, Davis",All institutions,Top 50 U.S. institutions,"U. California, Davis",3,113
1207,r013,All institutions -> Top 50 U.S. institutions -> Massachusetts Institute of Technology,All institutions,Top 50 U.S. institutions,Massachusetts Institute of Technology,3,105
1207,r014,"All institutions -> Top 50 U.S. institutions -> U. California, Irvine",All institutions,Top 50 U.S. institutions,"U. California, Irvine",3,101
