table_id,row_id,ftes_and_headcounts,all_personnel_functions,researchers,r_d_technicians,r_d_support_staff
8022,r001,FTE R&D personnel,468545,190334,180234,97977
8022,r002,All R&D personnel headcounts,963477,358098,363196,242183
