table_id,row_id,time_period,broad_occupation_level_1,broad_occupation_level_2,broad_occupation_hierarchy_depth,value
7789,r071_7,,Detailed occupation,Label,2,Teachers: Secondary - social sciences
7789,r072_4,,Minor occupation,Code,2,64
7789,r072_5,,Minor occupation,Label,2,S&E technicians and technologists
7789,r072_6,,Detailed occupation,Code,2,640260
7789,r072_7,,Detailed occupation,Label,2,"Technologists and technicians, biological and life sciences"
7789,r073_6,,Detailed occupation,Code,2,640530
7789,r073_7,,Detailed occupation,Label,2,"Computer programmers, business, scientific, and process control"
7789,r074_6,,Detailed occupation,Code,2,641000
7789,r074_7,,Detailed occupation,Label,2,"Electrical, electronic, industrial, and mechanical technicians"
7789,r075_6,,Detailed occupation,Code,2,641010
7789,r075_7,,Detailed occupation,Label,2,"Drafting occupations, including computer drafting"
7789,r076_6,,Detailed occupation,Code,2,641020
7789,r076_7,,Detailed occupation,Label,2,Surveying and mapping technicians
7789,r077_6,,Detailed occupation,Code,2,641030
7789,r077_7,,Detailed occupation,Label,2,"Other engineers, technologists, and technicians"
7789,r078_6,,Detailed occupation,Code,2,641040
7789,r078_7,,Detailed occupation,Label,2,"Surveyors, cartographers, and photogrammetrists"
7789,r079_6,,Detailed occupation,Code,2,641970
7789,r079_7,,Detailed occupation,Label,2,Technologists and technicians in the mathematical or physical sciencesh
7789,r080_4,,Minor occupation,Code,2,65
7789,r080_5,,Minor occupation,Label,2,Other S&E-related occupations
7789,r080_6,,Detailed occupation,Code,2,650810
7789,r080_7,,Detailed occupation,Label,2,Architects
7789,r081_6,,Detailed occupation,Code,2,651710
7789,r081_7,,Detailed occupation,Label,2,Actuaries
7789,r082_1,3,Broad occupation,Label,2,Non-S&E occupations
7789,r082_2,3,Major occupation,Code,2,7
7789,r082_3,3,Major occupation,Label,2,Non-S&E occupations
7789,r082_4,3,Minor occupation,Code,2,71
7789,r082_5,3,Minor occupation,Label,2,Non-S&E managers
7789,r082_6,3,Detailed occupation,Code,2,711410
7789,r082_7,3,Detailed occupation,Label,2,"Top-level managers, executives, and administrators"
7789,r083_6,,Detailed occupation,Code,2,711460
7789,r083_7,,Detailed occupation,Label,2,Education administrators
7789,r084_6,,Detailed occupation,Code,2,711470
7789,r084_7,,Detailed occupation,Label,2,Other mid-level managers
7789,r085_4,,Minor occupation,Code,2,72
7789,r085_5,,Minor occupation,Label,2,Management-related occupations
7789,r085_6,,Detailed occupation,Code,2,721510
7789,r085_7,,Detailed occupation,Label,2,"Accountants, auditors, and other financial specialists"
7789,r086_6,,Detailed occupation,Code,2,721520
7789,r086_7,,Detailed occupation,Label,2,"Personnel, training, and labor relations specialists"
7789,r087_6,,Detailed occupation,Code,2,721530
7789,r087_7,,Detailed occupation,Label,2,Other management-related occupations
7789,r088_4,,Minor occupation,Code,2,73
7789,r088_5,,Minor occupation,Label,2,Non-S&E precollege teachers
7789,r088_6,,Detailed occupation,Code,2,732510
7789,r088_7,,Detailed occupation,Label,2,Teachers: Pre-kindergarten and kindergarten
7789,r089_6,,Detailed occupation,Code,2,732520
7789,r089_7,,Detailed occupation,Label,2,Teachers: Elementary
7789,r090_6,,Detailed occupation,Code,2,732550
7789,r090_7,,Detailed occupation,Label,2,Teachers: Secondary - other subjects
7789,r091_6,,Detailed occupation,Code,2,732560
7789,r091_7,,Detailed occupation,Label,2,Teachers: Special education - primary and secondary
7789,r092_6,,Detailed occupation,Code,2,732570
7789,r092_7,,Detailed occupation,Label,2,Teachers: Other precollegiate area
7789,r093_4,,Minor occupation,Code,2,74
7789,r093_5,,Minor occupation,Label,2,Non-S&E postsecondary teachers
7789,r093_6,,Detailed occupation,Code,2,742720
7789,r093_7,,Detailed occupation,Label,2,"Postsecondary teachers - Art, drama, and music"
7789,r094_6,,Detailed occupation,Code,2,742740
7789,r094_7,,Detailed occupation,Label,2,Postsecondary teachers - Business commerce and marketing
7789,r095_6,,Detailed occupation,Code,2,742790
7789,r095_7,,Detailed occupation,Label,2,Postsecondary teachers - Education
7789,r096_6,,Detailed occupation,Code,2,742810
7789,r096_7,,Detailed occupation,Label,2,Postsecondary teachers - English
7789,r097_6,,Detailed occupation,Code,2,742820
7789,r097_7,,Detailed occupation,Label,2,Postsecondary teachers - Foreign language
7789,r098_6,,Detailed occupation,Code,2,742830
7789,r098_7,,Detailed occupation,Label,2,Postsecondary teachers - History
7789,r099_6,,Detailed occupation,Code,2,742880
7789,r099_7,,Detailed occupation,Label,2,Postsecondary teachers - Physical education
7789,r100_6,,Detailed occupation,Code,2,742990
7789,r100_7,,Detailed occupation,Label,2,Postsecondary teachers - Other postsecondary fields
7789,r101_4,,Minor occupation,Code,2,75
7789,r101_5,,Minor occupation,Label,2,Social services and related occupations
7789,r101_6,,Detailed occupation,Code,2,750400
7789,r101_7,,Detailed occupation,Label,2,Clergy and other religious workers
7789,r102_6,,Detailed occupation,Code,2,750700
7789,r102_7,,Detailed occupation,Label,2,"Counselors, educational, vocational, mental health, and substance abuse"
7789,r103_6,,Detailed occupation,Code,2,752400
7789,r103_7,,Detailed occupation,Label,2,Social workers
7789,r104_4,,Minor occupation,Code,2,76
7789,r104_5,,Minor occupation,Label,2,Sales and marketing occupations
7789,r104_6,,Detailed occupation,Code,2,762000
7789,r104_7,,Detailed occupation,Label,2,"Insurance, securities, real estate, and business services"
7789,r105_6,,Detailed occupation,Code,2,762010
7789,r105_7,,Detailed occupation,Label,2,"Sales occupations, commodities, except retail"
7789,r106_6,,Detailed occupation,Code,2,762020
7789,r106_7,,Detailed occupation,Label,2,"Sales occupations, retail"
7789,r107_6,,Detailed occupation,Code,2,762030
7789,r107_7,,Detailed occupation,Label,2,Other marketing and sales occupations
7789,r108_4,,Minor occupation,Code,2,77
7789,r108_5,,Minor occupation,Label,2,"Art, humanities, and related occupations"
7789,r108_6,,Detailed occupation,Code,2,770100
7789,r108_7,,Detailed occupation,Label,2,"Writers, editors, public relations specialists, artists, entertainers, and broadcasters"
7789,r109_6,,Detailed occupation,Code,2,772330
7789,r109_7,,Detailed occupation,Label,2,Historians
7789,r110_4,,Minor occupation,Code,2,78
7789,r110_5,,Minor occupation,Label,2,Other non-S&E occupations
7789,r110_6,,Detailed occupation,Code,2,780310
7789,r110_7,,Detailed occupation,Label,2,"Accounting clerks, and bookkeepers"
7789,r111_6,,Detailed occupation,Code,2,780320
7789,r111_7,,Detailed occupation,Label,2,"Secretaries, receptionists, and typists"
7789,r112_6,,Detailed occupation,Code,2,780330
7789,r112_7,,Detailed occupation,Label,2,Other administrative occupations
7789,r113_6,,Detailed occupation,Code,2,781100
7789,r113_7,,Detailed occupation,Label,2,"Farmers, foresters, and fishermen"
7789,r114_6,,Detailed occupation,Code,2,781200
