table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount_thousands_,field_1_4_employees_companies_number_,field_1_4_employees_amount_thousands_,field_5_9_employees_companies_number_,field_5_9_employees_amount_thousands_
12485,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['13,868', '&nbsp;']","['5,710,570', '&nbsp;']","['8,698', '&nbsp;']","['2,525,915', '&nbsp;']","['5,170', '&nbsp;']","['3,184,655', '&nbsp;']"
12485,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,619', '&nbsp;']","['694,247', '&nbsp;']","['841', '&nbsp;']","['224,082', '&nbsp;']","['778', '&nbsp;']","['470,165', '&nbsp;']"
12485,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['41', '&nbsp;']","['17,426', '&nbsp;']","['22', 'r']","['6,898', 'r']","['19', 'r']","['10,528', 'r']"
12485,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['13', 'r']","['9,268', 'r']","['8', 'r']","['1,264', 'r']","['5', 'r']","['8,005', 'r']"
12485,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12485,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['3', 'r']","['898', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['3', 'r']","['898', 'r']"
12485,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12485,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['1', 'r']","['159', '&nbsp;']","['1', 'r']","['159', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12485,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['265', '&nbsp;']","['168,564', '&nbsp;']","['146', '&nbsp;']","['71,854', '&nbsp;']","['119', '&nbsp;']","['96,710', '&nbsp;']"
12485,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['158', '&nbsp;']","['125,474', '&nbsp;']","['86', '&nbsp;']","['51,945', '&nbsp;']","['72', '&nbsp;']","['73,529', '&nbsp;']"
