table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_level_3,_b_debt_level_b_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4855,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
4855,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,2,"['$21,608', '']","['$30,966', '']","['$35,621', '']","['$7,621', '']","['$42,337', '']","['$56,250', '']","['$15,925', '']","['$88,206', '']","['$31,878', '']","['$38,902', '']","['$38,750', '']","['$50,536', '']"
4855,r003,Cumulative debt -> ,Cumulative debt,,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
4855,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['16,954', '62.0']","['12,917', '55.9']","['16,001', '48.7']","['13,760', '78.8']","['1,088', '40.1']","['23', '27.4']","['2,111', '68.1']","['447', '19.4']","['11,610', '50.2']","['533', '47.4']","['121', '45.8']","['68', '48.6']"
4855,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['2,184', '8.0']","['1,646', '7.1']","['2,388', '7.3']","['1,432', '8.2']","['258', '9.5']","['6', '7.1']","['207', '6.7']","['146', '6.3']","['1,668', '7.2']","['73', '6.5']","['23', '8.7']","['7', '5.0']"
4855,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['1,470', '5.4']","['1,249', '5.4']","['2,095', '6.4']","['617', '3.5']","['181', '6.7']","['7', '8.3']","['176', '5.7']","['101', '4.4']","['1,538', '6.7']","['68', '6.0']","['19', '7.2']","['5', '3.6']"
4855,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['1,309', '4.8']","['1,016', '4.4']","['1,857', '5.7']","['459', '2.6']","['168', '6.2']","['6', '7.1']","['145', '4.7']","['94', '4.1']","['1,352', '5.9']","['71', '6.3']","['17', '6.4']","['4', '2.9']"
4855,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['869', '3.2']","['758', '3.3']","['1,392', '4.2']","['227', '1.3']","['126', '4.6']","['D', 'D']","['81', '2.6']","['92', '4.0']","['1,028', '4.4']","['D', 'D']","['11', '4.2']","['4', '2.9']"
4855,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['690', '2.5']","['656', '2.8']","['1,155', '3.5']","['185', '1.1']","['107', '3.9']","['7', '8.3']","['58', '1.9']","['115', '5.0']","['824', '3.6']","['33', '2.9']","['8', '3.0']","['3', '2.1']"
4855,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['488', '1.8']","['516', '2.2']","['874', '2.7']","['128', '0.7']","['75', '2.8']","['D', 'D']","['52', '1.7']","['75', '3.3']","['632', '2.7']","['D', 'D']","['5', '1.9']","['4', '2.9']"
