table_id,row_id,sex_ethnicity_race_disability_status_and_field_full_path,sex_ethnicity_race_disability_status_and_field_level_1,sex_ethnicity_race_disability_status_and_field_level_2,sex_ethnicity_race_disability_status_and_field_level_3,sex_ethnicity_race_disability_status_and_field_level_4,sex_ethnicity_race_disability_status_and_field_hierarchy_depth,field_total_number_,field_all_institutions,field_doctoral_highest_research,field_doctoral_higher_research,field_doctoral_moderate_research,field_medical_schools_and_centers,field_other_or_unknown_carnegie_group
3286,r001,All S&E doctorate recipients<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,,,,1,25718,100.0,75.13,14.6,4.7,3.43,2.15
3286,r002,All S&E doctorate recipients<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Male,,,2,13464,100.0,78.25,13.8,3.05,3.05,1.85
3286,r003,All S&E doctorate recipients<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Female,,,2,12254,100.0,71.7,15.47,6.51,3.84,2.47
3286,r004,All S&E doctorate recipients<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,,2,2082,100.0,72.96,13.16,5.09,5.09,3.7
3286,r005,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,,,2,,,,,,,
3286,r006,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,,3,77,100.0,64.94,24.68,7.79,0.0,2.6
3286,r007,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Asian,,3,2821,100.0,81.28,10.17,2.02,4.89,1.63
3286,r008,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Black or African American,,3,1468,100.0,54.77,17.44,21.73,3.07,3.0
3286,r009,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,White,,3,17689,100.0,76.3,15.11,3.66,3.0,1.92
3286,r010,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,More than one race,,3,871,100.0,76.46,13.43,2.99,4.82,2.3
3286,r011,All S&E doctorate recipients<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,,3,280,100.0,79.29,9.64,5.36,3.93,1.79
3286,r012,All S&E doctorate recipients<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Ethnicity not reported,,,2,430,100.0,62.79,23.49,7.44,2.09,4.19
3286,r013,All S&E doctorate recipients<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Without disability,,,2,21613,100.0,76.01,14.31,4.32,3.52,1.85
3286,r014,All S&E doctorate recipients<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,With disability,,,2,2234,100.0,75.78,13.88,5.15,3.45,1.75
3286,r015,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,,,2,21465,100.0,73.66,14.74,5.22,4.03,2.35
3286,r016,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Male,,3,10344,100.0,77.11,13.69,3.28,3.88,2.05
3286,r017,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Female,,3,11121,100.0,70.46,15.71,7.02,4.18,2.63
3286,r018,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,3,1776,100.0,71.17,13.06,,,
3286,r019,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
3286,r020,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,4,68,100.0,,,8.82,0,2.94
3286,r021,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Asian,4,2103,100.0,79.79,10.08,2.19,6.18,1.76
3286,r022,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1290,100.0,52.33,17.13,23.88,3.49,3.18
3286,r023,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,White,4,14889,100.0,75.19,15.22,3.96,3.53,2.1
