table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_usda,field_othera
10856,r001,All locations,All locations,,,1,189604388,567226,2009017,72112214,13694649,939385,1070122,525457,73680855,11597024,6874499,3128967,3404973
10856,r002,All locations -> Alabama,All locations,Alabama,,2,4086585,8583,14312,3041448,36551,3952,14342,114,385897,442848,57121,57226,24190
10856,r003,All locations -> Alaska,All locations,Alaska,,2,272508,176,9424,73064,6060,61847,7172,725,21697,24969,50284,15090,2000
10856,r004,All locations -> Arizona,All locations,Arizona,,2,2387850,5066,4303,1536478,25393,34351,8160,8,390181,106572,232481,31163,13694
10856,r005,All locations -> Arkansas,All locations,Arkansas,,2,268319,0,0,58239,4146,8024,2620,0,101024,1099,27786,50301,15079
10856,r006,All locations -> California,All locations,California,,2,23272011,44302,37139,9144281,2810097,70910,34077,18461,6201910,3466068,892725,160025,392017
10856,r007,All locations -> Colorado,All locations,Colorado,,2,4638849,2957,214489,2327477,511241,77736,14629,11004,570677,465659,345622,61175,36183
10856,r008,All locations -> Connecticut,All locations,Connecticut,,2,2642331,4389,7127,1581930,51016,1126,5316,203,732294,127149,62920,17004,51856
10856,r009,All locations -> Delaware,All locations,Delaware,,2,340648,122,16562,156085,17975,1382,1008,114,83973,9584,39391,12408,2043
10856,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,33916947,31733,41261,3569978,692580,20100,163645,107549,26085754,1531141,242323,342521,1088364
10856,r011,All locations -> Florida,All locations,Florida,,2,4249966,8097,37788,2689320,38049,58375,24555,10776,854924,164422,207850,91271,64541
10856,r012,All locations -> Georgia,All locations,Georgia,,2,1821438,5023,9421,460956,48978,3351,33759,10916,910819,28628,148098,109429,52060
10856,r013,All locations -> Hawaii,All locations,Hawaii,,2,371193,994,5453,189922,8446,7519,1510,0,60062,29896,40569,24726,2096
10856,r014,All locations -> Idaho,All locations,Idaho,,2,702352,3928,0,126682,461377,11201,1134,215,23642,3312,22000,38496,10366
10856,r015,All locations -> Illinois,All locations,Illinois,,2,3468724,15614,8060,471169,1258264,7890,14197,2306,1208255,41164,302831,64980,73994
10856,r016,All locations -> Indiana,All locations,Indiana,,2,1277050,255,7822,618469,35861,9221,4658,862,361163,19769,151918,33693,33359
10856,r017,All locations -> Iowa,All locations,Iowa,,2,760960,250,238,201554,48501,1076,16384,5210,217244,108293,47818,85612,28781
10856,r018,All locations -> Kansas,All locations,Kansas,,2,445052,200,6773,61836,10065,5862,3242,0,127810,14728,38765,163811,11959
10856,r019,All locations -> Kentucky,All locations,Kentucky,,2,413477,0,125,30158,44593,2236,3944,27,248409,6890,32215,30308,14571
10856,r020,All locations -> Louisiana,All locations,Louisiana,,2,512246,0,2505,117749,8964,24231,5027,2814,227508,5753,53468,54744,9482
10856,r021,All locations -> Maine,All locations,Maine,,2,229928,0,6010,36977,991,3441,1911,0,115055,10584,34151,20588,221
10856,r022,All locations -> Maryland,All locations,Maryland,,2,20258939,21667,1250090,5472538,101971,44574,20872,7419,11012733,1668193,372397,207627,78857
10856,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,8495312,39749,42889,3441904,177511,16677,216545,19820,3638827,202476,459686,41794,197433
10856,r024,All locations -> Michigan,All locations,Michigan,,2,2389976,1370,8417,930149,179997,11276,9160,1724,919445,45338,187894,29535,65671
10856,r025,All locations -> Minnesota,All locations,Minnesota,,2,1239047,96,10244,203777,29649,9564,9326,11155,786531,9171,84378,51761,33395
10856,r026,All locations -> Mississippi,All locations,Mississippi,,2,1149978,15982,18373,823935,2898,3669,4646,0,69621,60898,20542,124551,4864
10856,r027,All locations -> Missouri,All locations,Missouri,,2,1837946,6039,1510,687439,85211,25680,13642,3217,788880,52566,72130,63678,37955
10856,r028,All locations -> Montana,All locations,Montana,,2,291606,15470,520,67433,8339,23113,1969,0,102353,10906,30315,30962,225
10856,r029,All locations -> Nebraska,All locations,Nebraska,,2,325071,11354,368,29814,7298,1004,3579,0,151915,3510,48196,54566,13466
10856,r030,All locations -> Nevada,All locations,Nevada,,2,519765,1383,3015,176001,179652,12780,992,0,47044,55645,29418,7516,6318
10856,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,444718,330,12632,218708,7331,3077,333,0,119975,32160,35012,10224,4936
10856,r032,All locations -> New Jersey,All locations,New Jersey,,2,3386124,2903,12838,2427421,164103,3248,26232,3290,538880,41120,129414,9464,27211
10856,r033,All locations -> New Mexico,All locations,New Mexico,,2,3484393,43994,1036,1235144,1884274,6919,13359,181,121807,61832,46850,21839,47160
10856,r034,All locations -> New York,All locations,New York,,2,6726319,4657,23374,1206859,1183622,12268,15930,2346,3484005,151111,466529,67633,107986
10856,r035,All locations -> North Carolina,All locations,North Carolina,,2,3724189,7800,24923,315663,83592,13251,9985,125427,2814428,10644,169868,66855,81753
10856,r036,All locations -> North Dakota,All locations,North Dakota,,2,153360,0,90,28220,10172,3012,7449,7,32209,828,15122,56011,238
10856,r037,All locations -> Ohio,All locations,Ohio,,2,8242542,16209,1374,6709129,63397,9888,29975,62810,980871,147926,114376,55236,51353
10856,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,458390,1304,18553,79584,28085,62418,13797,6946,140342,23012,40088,34985,9277
10856,r039,All locations -> Oregon,All locations,Oregon,,2,812145,550,4974,71578,51123,21515,6726,10489,398675,11658,91628,81642,61587
10856,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,4911808,11176,11961,1578904,419012,11108,50907,11004,2310525,83499,271200,78487,74025
10856,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,894706,0,22701,521198,6667,321,2122,9272,256652,4647,41100,3036,26989
