table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3123,r001,All R&D fields,All R&D fields,,,,1,37477582,40768251,40142223,39445931,37961118,37846802,38771218,40223757,41836102,44455265
3123,r002,All R&D fields -> Science,All R&D fields,Science,,,2,30791579,33373047,32497010,31764827,30399632,30316611,31082616,32188365,33503484,35551659
3123,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1175343,1294280,1360430,1552301,1390779,1419743,1442869,1497480,1630112,1794548
3123,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2013754,2181206,2203399,2094690,2049514,2065967,1991824,2042331,2048328,2067292
3123,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,338687,383740,389095,397620,389374,453710,513275,503347,485737,460463
3123,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,735094,799906,818785,767770,740609,699060,604525,685691,697996,676742
3123,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,666930,705852,673888,662219,663079,647119,665139,656802,649212,698401
3123,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,273043,291708,321631,267081,256452,266078,208885,196491,215383,231686
3123,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,21702125,23663408,22753602,22227278,21269620,21163294,21789011,22743367,23858579,25443994
3123,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,957710,1042740,1137729,1111006,1083562,1095769,976109,976822,950573,989573
3123,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,7579196,8213534,7741440,7604786,7238745,7103518,7698393,8178673,8569283,9260282
3123,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,12068659,13184595,12681515,12287408,11743066,11723715,12098365,12685602,13391996,14185253
3123,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,315446,270289,318725,367864
