table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
6551,r001,All business activities,All business activities,,1,21100–81000,"['14,897,629', '&nbsp;']","['11,180,864', '&nbsp;']","['3,716,765', '&nbsp;']"
6551,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['134,817', '&nbsp;']","['76,461', '&nbsp;']","['58,356', '&nbsp;']"
6551,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['18,446', '&nbsp;']","['16,249', '&nbsp;']","['2,197', '&nbsp;']"
6551,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['89,977', '&nbsp;']","['52,988', '&nbsp;']","['36,989', '&nbsp;']"
6551,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['304,374', '&nbsp;']","['299,499', '&nbsp;']","['4,875', '&nbsp;']"
6551,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['94,478', '&nbsp;']","['86,185', '&nbsp;']","['8,293', '&nbsp;']"
6551,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['779,512', '&nbsp;']","['565,706', '&nbsp;']","['213,805', '&nbsp;']"
6551,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['119,563', '&nbsp;']","['78,304', '&nbsp;']","['41,260', '&nbsp;']"
6551,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['70,749', '&nbsp;']","['38,302', '&nbsp;']","['32,447', '&nbsp;']"
6551,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['77,152', '&nbsp;']","['52,980', '&nbsp;']","['24,172', '&nbsp;']"
6551,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['41,886', '&nbsp;']","['35,775', '&nbsp;']","['6,111', '&nbsp;']"
6551,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['157,322', '&nbsp;']","['121,784', '&nbsp;']","['35,538', '&nbsp;']"
6551,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['65,659', 'i']","['55,322', 'i']","['10,337', 'i']"
6551,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['565,617', '&nbsp;']","['362,033', '&nbsp;']","['203,584', '&nbsp;']"
6551,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['18,425', '&nbsp;']","['12,625', '&nbsp;']","['5,800', '&nbsp;']"
6551,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['11,434', '&nbsp;']","['10,453', '&nbsp;']","['981', '&nbsp;']"
6551,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['229,696', '&nbsp;']","['162,308', '&nbsp;']","['67,388', '&nbsp;']"
6551,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['111,490', '&nbsp;']","['71,464', '&nbsp;']","['40,026', '&nbsp;']"
6551,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['67,393', '&nbsp;']","['55,221', '&nbsp;']","['12,172', '&nbsp;']"
6551,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['556,641', '&nbsp;']","['390,793', '&nbsp;']","['165,848', '&nbsp;']"
6551,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['16,743', '&nbsp;']","['9,203', '&nbsp;']","['7,540', '&nbsp;']"
6551,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['125,658', '&nbsp;']","['110,171', '&nbsp;']","['15,487', '&nbsp;']"
6551,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['178,605', '&nbsp;']","['98,956', '&nbsp;']","['79,648', '&nbsp;']"
6551,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['122,390', '&nbsp;']","['79,963', '&nbsp;']","['42,427', '&nbsp;']"
6551,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['208,281', '&nbsp;']","['147,611', '&nbsp;']","['60,670', '&nbsp;']"
6551,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['39,831', '&nbsp;']","['24,278', '&nbsp;']","['15,553', 'i']"
6551,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['46,774', '&nbsp;']","['40,945', '&nbsp;']","['5,829', '&nbsp;']"
6551,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['152,375', '&nbsp;']","['124,730', '&nbsp;']","['27,645', '&nbsp;']"
6551,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['181,995', '&nbsp;']","['131,704', '&nbsp;']","['50,291', '&nbsp;']"
6551,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['64,372', '&nbsp;']","['36,555', '&nbsp;']","['27,817', '&nbsp;']"
6551,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['80,265', '&nbsp;']","['49,639', '&nbsp;']","['30,626', '&nbsp;']"
6551,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['68,949', '&nbsp;']","['41,577', '&nbsp;']","['27,372', '&nbsp;']"
6551,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['45,318', '&nbsp;']","['24,628', '&nbsp;']","['20,690', '&nbsp;']"
6551,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['38,121', '&nbsp;']","['28,420', '&nbsp;']","['9,702', '&nbsp;']"
6551,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['836', '&nbsp;']","['710', '&nbsp;']","['127', '&nbsp;']"
6551,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['115,672', '&nbsp;']","['80,311', '&nbsp;']","['35,361', '&nbsp;']"
6551,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['3,382', '&nbsp;']","['1,765', '&nbsp;']","['1,617', '&nbsp;']"
6551,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['107,601', '&nbsp;']","['55,906', '&nbsp;']","['51,695', '&nbsp;']"
6551,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['101,485', '&nbsp;']","['75,149', '&nbsp;']","['26,336', '&nbsp;']"
6551,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['457,916', '&nbsp;']","['212,050', '&nbsp;']","['245,866', '&nbsp;']"
6551,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['79,503', '&nbsp;']","['44,013', '&nbsp;']","['35,490', '&nbsp;']"
6551,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['37,126', '&nbsp;']","['30,687', '&nbsp;']","['6,439', 'i']"
6551,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['16,059', '&nbsp;']","['14,584', '&nbsp;']","['1,476', '&nbsp;']"
6551,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['16,217', '&nbsp;']","['7,917', '&nbsp;']","['8,299', '&nbsp;']"
6551,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['465,467', '&nbsp;']","['224,875', '&nbsp;']","['240,592', '&nbsp;']"
6551,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['49,345', '&nbsp;']","['31,332', '&nbsp;']","['18,014', 'i']"
6551,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['73,069', '&nbsp;']","['62,412', '&nbsp;']","['10,658', '&nbsp;']"
6551,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['84,362', '&nbsp;']","['55,700', '&nbsp;']","['28,662', '&nbsp;']"
6551,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['222,663', '&nbsp;']","['145,801', '&nbsp;']","['76,861', '&nbsp;']"
