table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10109,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,,,
10109,r002,All institutions -> All R&D,All institutions,All R&D,,,,,2,61286610,65274393,65729007,66977566,67161428,68519962,71736671,75148301,79024262,83488120,86302262,89694837,97680528
10109,r003,All institutions -> All R&D -> Direct costs,All institutions,All R&D,Direct costs,,,,3,46159649,49311567,49897854,51053891,51526977,52582354,55249769,57935944,60776661,64346077,66527478,69158330,75399863
10109,r004,"All institutions -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,,4,25929799,27860610,28339070,28776405,29091522,29873561,31434222,33231352,34675304,36566229,38727777,40336580,43076988
10109,r005,All institutions -> All R&D -> Direct costs -> Software,All institutions,All R&D,Direct costs,Software,,,4,105970,116422,103456,107685,96517,117007,113550,109645,121855,136490,158550,173026,192819
10109,r006,All institutions -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,All R&D,Direct costs,Software,Noncapitalized software,,5,88456,98438,93250,95652,84275,93204,95162,98620,110792,120936,144292,158542,178059
10109,r007,All institutions -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,All R&D,Direct costs,Software,Capitalized software,,5,17514,17984,10206,12033,12242,23803,18388,11025,11063,15554,14258,14484,14760
10109,r008,All institutions -> All R&D -> Direct costs -> Capitalized equipment,All institutions,All R&D,Direct costs,Capitalized equipment,,,4,2148421,2256025,2040534,2254429,2036407,2119877,2169442,2193909,2148636,2439825,2588968,2662636,2700652
10109,r009,All institutions -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,All R&D,Direct costs,Passed through to subrecipients,,,4,4956929,5436850,5531421,5689087,5702930,5633803,5696733,5915059,6315464,6716582,7049955,7575028,8521194
10109,r010,All institutions -> All R&D -> Direct costs -> Other direct costs,All institutions,All R&D,Direct costs,Other direct costs,,,4,13018530,13641660,13883373,14226285,14599601,14838106,15835822,16485979,17515402,18486951,18002228,18411060,20908210
10109,r011,All institutions -> All R&D -> Indirect costs,All institutions,All R&D,Indirect costs,,,,3,15126961,15962826,15831153,15923675,15634451,15937608,16486902,17212357,18247601,19142043,19774784,20536507,22280665
10109,r012,All institutions -> All R&D -> Indirect costs -> Recovered,All institutions,All R&D,Indirect costs,Recovered,,,4,10465893,11352339,11221624,11220177,10873913,11100901,11452832,12022230,12745675,13608339,14036848,14660672,16106829
10109,r013,All institutions -> All R&D -> Indirect costs -> Unrecovered,All institutions,All R&D,Indirect costs,Unrecovered,,,4,4661068,4610487,4609529,4703498,4760538,4836707,5034070,5190127,5501926,5533704,5737936,5875835,6173836
10109,r014,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,,,
10109,r015,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,,,3,60266691,64064133,64700201,66182145,66410192,67860286,70686976,74441469,78355175,82803180,85612361,89019187,96904532
10109,r016,All institutions -> Doctorate -> All R&D -> Direct costs,All institutions,Doctorate,All R&D,Direct costs,,,4,45266156,48282499,49022847,50363045,50877837,52011214,54331813,57313686,60194963,63754476,65934226,68578475,74740013
10109,r017,"All institutions -> Doctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Doctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,25494721,27357645,27906910,28436384,28757955,29582809,31084409,32913285,34363810,36256830,38415945,40014704,42728472
10109,r018,All institutions -> Doctorate -> All R&D -> Direct costs -> Software,All institutions,Doctorate,All R&D,Direct costs,Software,,5,98119,110285,95627,102523,91341,111641,108663,107221,119961,134750,156205,169166,188700
10109,r019,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Noncapitalized software,6,80940,92808,86115,90658,79637,88076,90566,96577,109039,119350,142274,155046,174038
