table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_years_since_highest_degree_5,field_years_since_highest_degree_5_9,field_years_since_highest_degree_10_14,field_years_since_highest_degree_15_19,field_years_since_highest_degree_20_24,field_years_since_highest_degree_25_29,field_years_since_highest_degree_30_34,field_years_since_highest_degree_35
6849,r001,All sexes,All sexes,,,,,1,48223000,7482000,8984000,7102000,5680000,4865000,4150000,3788000,6171000
6849,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,21878000,3058000,3503000,3116000,2588000,2180000,1974000,1927000,3532000
6849,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,20857000,3258000,4174000,3197000,2554000,2163000,1755000,1515000,2240000
6849,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,4294000,900000,995000,617000,442000,419000,334000,269000,317000
6849,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1195000,266000,312000,173000,96000,102000,87000,77000,82000
6849,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,6769000,1246000,1366000,1060000,800000,686000,607000,456000,548000
6849,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3002000,572000,558000,453000,356000,298000,267000,207000,290000
6849,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3137000,540000,652000,514000,385000,324000,288000,211000,223000
6849,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,526000,106000,140000,78000,49000,52000,44000,29000,28000
6849,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,104000,27000,16000,15000,10000,12000,8000,9000,7000
6849,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,157000,144000,79000,68000,46000,36000,30000,50000
6849,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,288000,85000,59000,37000,28000,21000,18000,15000,24000
6849,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,260000,59000,67000,31000,35000,21000,12000,12000,23000
6849,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,51000,10000,15000,10000,4000,4000,5000,2000,S
6849,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,11000,4000,2000,S,,1000,S,,
6849,r016,All sexes -> S&E occupations -> Computer and mathematical scientists,All sexes,S&E occupations,Computer and mathematical scientists,,,3,3419000,521000,695000,618000,433000,377000,349000,207000,218000
