table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
8832,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['47,052', '&nbsp;']","['27,038', '&nbsp;']","['17,784', '&nbsp;']","['2,070', '&nbsp;']","['128', '&nbsp;']","['2', '&nbsp;']","['30', '&nbsp;']"
8832,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['34,929', '&nbsp;']","['18,984', '&nbsp;']","['14,162', '&nbsp;']","['1,636', '&nbsp;']","['127', '&nbsp;']","['*', '&nbsp;']","['21', '&nbsp;']"
8832,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['773', 'i']","['552', 'i']","['205', '&nbsp;']","['14', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
8832,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['152', '&nbsp;']","['31', '&nbsp;']","['121', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8832,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8832,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8832,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8832,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8832,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['68 - 275', '&nbsp;']","['0 - 172', '&nbsp;']","['0 - 120', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0 - 8', '&nbsp;']"
8832,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,511', '&nbsp;']","['3,595', '&nbsp;']","['7,045', '&nbsp;']","['861', '&nbsp;']","['0 - 4', '&nbsp;']","['*', '&nbsp;']","['4 - 12', '&nbsp;']"
