table_id,row_id,field_research_activity_and_position_full_path,field_research_activity_and_position_level_1,field_research_activity_and_position_level_2,field_research_activity_and_position_hierarchy_depth,field_1973,field_1975,field_1977,field_1979,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4394,r001,All fields,All fields,,1,44.5,40.5,39.7,38.2,35.5,39.8,31.4,46.5,47.9,48.5,36.1,39.4,38.6,45.7,45.1,45.9,46.9,44.5,45.1,44.2,41.0,40.3,39.1
4394,r002,All fields -> Research as primary or secondary activity,All fields,Research as primary or secondary activity,2,51.9,48.9,52.3,51.8,50.8,55.9,44.5,56.1,58.1,57.8,46.4,50.0,48.2,56.6,56.4,56.7,58.1,55.5,56.2,56.5,52.0,50.3,49.8
4394,r003,All fields -> Full-time faculty,All fields,Full-time faculty,2,42.0,39.6,38.2,36.2,38.8,41.7,34.3,45.6,46.6,48.0,32.9,35.7,34.9,43.2,43.6,44.9,46.5,43.7,44.7,43.5,40.3,40.2,39.2
4394,r004,All fields -> Other full-time positions,All fields,Other full-time positions,2,60.2,58.8,68.1,58.3,58.5,59.4,49.8,60.6,60.9,58.8,42.5,43.1,46.7,48.9,47.2,46.3,43.6,43.5,41.9,42.8,41.9,39.8,36.4
4394,r005,All fields -> Postdoctorates,All fields,Postdoctorates,2,87.7,86.3,86.0,82.1,86.3,82.2,78.5,82.1,83.5,84.5,83.1,80.1,74.1,80.3,74.3,78.1,70.7,71.9,73.2,77.7,70.3,71.1,69.5
4394,r006,Physical sciences,Physical sciences,,1,47.3,44.0,43.8,42.8,42.1,46.5,38.2,54.1,57.9,57.0,45.7,49.3,48.6,57.0,55.3,56.5,56.4,53.6,53.9,53.0,51.9,50.1,47.3
4394,r007,Physical sciences -> Research as primary or secondary activity,Physical sciences,Research as primary or secondary activity,2,56.2,54.1,56.2,57.0,59.0,63.3,52.5,66.2,69.6,68.9,58.6,62.3,59.6,70.1,68.3,69.2,70.0,67.2,67.0,68.8,65.9,63.5,61.0
4394,r008,Physical sciences -> Full-time faculty,Physical sciences,Full-time faculty,2,42.2,38.7,38.3,37.4,37.1,42.6,33.2,49.5,53.7,53.5,38.7,42.9,42.1,53.2,51.7,55.0,55.1,54.2,52.8,52.2,51.7,51.3,49.4
4394,r009,Physical sciences -> Other full-time positions,Physical sciences,Other full-time positions,2,67.0,61.4,62.8,68.3,59.1,64.8,58.1,71.2,70.1,69.1,60.6,57.0,63.6,65.8,59.7,58.8,58.2,51.4,50.7,51.8,53.8,49.3,39.7
4394,r010,Physical sciences -> Postdoctorates,Physical sciences,Postdoctorates,2,90.3,87.4,86.3,81.9,82.5,81.9,75.4,87.9,84.6,81.2,82.0,85.3,81.2,81.3,83.0,78.8,75.7,66.7,78.3,80.0,72.7,69.1,68.9
4394,r011,Mathematics and statistics,Mathematics and statistics,,1,26.9,19.1,19.0,21.7,21.3,30.1,21.5,31.1,33.5,34.5,18.8,22.3,20.9,29.1,31.9,31.1,34.8,31.7,34.1,30.5,26.8,29.1,24.7
