table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_science_occupations_total_median_salary,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientists_median_salary,field_science_occupations_biological_agricultural_and_other_life_scientists_se,field_science_occupations_computer_and_information_scientists_median_salary,field_science_occupations_computer_and_information_scientists_se,field_science_occupations_mathematical_scientists_median_salary,field_science_occupations_mathematical_scientists_se,field_science_occupations_physical_scientists_median_salary,field_science_occupations_physical_scientists_se,field_science_occupations_psychologists_median_salary,field_science_occupations_psychologists_se,field_science_occupations_social_scientists_median_salary,field_science_occupations_social_scientists_se,field_engineering_occupations_median_salary,field_engineering_occupations_se,field_s_e_related_occupations_median_salary,field_s_e_related_occupations_se,field_non_s_e_occupations_median_salary,field_non_s_e_occupations_se
8166,r001,All locations,All locations,,,1,122000,1500,110000,1000,105000,500,150000,500,120000,1500,108000,2500,101000,1500,100000,2000,137000,2500,140000,1000,150000,500
8166,r002,All locations -> New England,All locations,New England,,2,132000,3000,120000,1500,120000,2000,150000,6000,132000,6000,115000,5000,98000,5500,107000,6000,140000,2500,150000,6500,160000,8000
8166,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,120000,4000,108000,5000,110000,14500,147000,19000,113000,10000,98000,4000,95000,7000,104000,6000,128000,9000,125000,4500,157000,22500
8166,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,89000,5000,74000,8000,90000,5000,S,S,72000,5500,84000,13500,54000,19000,72000,10000,177000,30000,133000,17000,118000,37000
8166,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,140000,2000,129000,2000,124000,3500,152000,7000,144000,8000,121000,6000,100000,6000,117000,7000,142000,5000,169000,8000,178000,10000
8166,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,118000,9000,99000,10000,84000,5500,,,,,117000,9500,88000,24000,94000,16000,125000,19500,131000,20000,134000,7500
8166,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,114000,8000,104000,8500,100000,18000,99000,12000,106000,17500,126000,10000,81000,20000,99000,18500,129000,6500,119000,24500,150000,25000
8166,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,104000,9000,88000,5000,80000,19500,,,,,103000,31500,84000,27500,87000,4000,138000,5500,S,S,135000,38000
8166,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,128000,3500,119000,2000,115000,3500,144000,6000,138000,10000,110000,5500,103000,3000,108000,4500,134000,4000,146000,8000,160000,6500
8166,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,143000,5500,135000,5000,136000,7000,145000,7000,172000,14000,119000,6000,110000,9500,118000,8000,142000,7500,150000,14500,180000,18500
8166,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,129000,3500,118000,4000,103000,7000,148000,6500,155000,8000,107000,7500,108000,4000,111000,7500,128000,5500,154000,9000,167000,7500
8166,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,119000,1000,108000,3000,114000,4500,130000,10000,107000,12500,100000,7500,99000,4000,99000,3500,134000,6500,133000,4000,149000,11000
8166,r013,All locations -> East North Central,All locations,East North Central,,2,110000,500,100000,1000,97000,3000,117000,4000,104000,4000,99000,4000,100000,2000,99000,4000,120000,3000,120000,8000,135000,5500
8166,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,120000,3500,113000,4000,110000,9500,132000,7000,120000,8000,108000,7500,105000,3500,108000,5500,129000,4000,118000,16000,164000,16000
8166,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,104000,4500,100000,1000,102000,9500,111000,10000,106000,8000,96000,12000,94000,7000,88000,4000,118000,6500,106000,16000,114000,5500
8166,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,112000,3000,100000,1500,93000,4500,114000,5500,100000,7500,102000,6000,100000,4500,96000,5500,124000,7000,145000,19000,139000,10000
8166,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,105000,2500,100000,3000,96000,4000,100000,14000,103000,4500,93000,6000,99000,4000,91000,8000,118000,4000,115000,4500,118000,9000
8166,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,100000,2500,88000,3000,84000,4000,111000,10500,88000,7500,82000,7000,101000,14500,83000,6000,101000,7500,132000,7000,120000,15500
8166,r019,All locations -> West North Central,All locations,West North Central,,2,105000,2000,100000,2000,99000,4000,119000,8000,92000,6500,98000,6500,101000,6500,90000,3500,120000,5500,113000,6000,125000,9000
8166,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,100000,3500,99000,4000,96000,9000,112000,14500,110000,20000,91000,4000,100000,5000,89000,3000,99000,19500,125000,21500,120000,20000
8166,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,100000,2500,99000,3000,105000,5500,81000,13000,75000,6500,100000,6500,95000,13500,87000,6000,100000,10500,112000,16000,114000,25000
8166,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,119000,2000,109000,8000,99000,8000,141000,15000,90000,10500,116000,14500,110000,6000,90000,3500,131000,8500,113000,11500,149000,21500
