table_id,row_id,technology_area_full_path,technology_area_level_1,technology_area_level_2,technology_area_hierarchy_depth,field_1998_2018,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1915,r001,All university patents,All university patents,,1,92311,3432,3628,3308,3438,3496,3497,3261,2876,3518,3213,3022,3264,4514,4413,5040,5619,6081,6177,6628,7002,6885
1915,r002,All university patents -> Biotechnology,All university patents,Biotechnology,2,15664,821,891,722,791,709,634,576,485,669,603,553,600,740,686,750,790,882,850,952,983,977
1915,r003,All university patents -> Pharmaceuticals,All university patents,Pharmaceuticals,2,13343,599,656,602,571,578,509,439,368,455,394,365,378,557,521,660,726,877,942,1005,1099,1040
1915,r004,All university patents -> Medical technology,All university patents,Medical technology,2,8071,237,278,225,227,238,306,235,202,224,191,210,219,351,377,463,565,632,655,696,763,779
1915,r005,All university patents -> Measurement,All university patents,Measurement,2,6675,189,224,213,225,219,257,292,247,283,267,282,283,347,376,389,404,393,417,439,456,473
1915,r006,All university patents -> Organic fine chemistry,All university patents,Organic fine chemistry,2,6350,242,231,245,250,296,250,206,201,250,214,190,220,308,253,355,376,418,427,472,480,464
1915,r007,All university patents -> Computer technology,All university patents,Computer technology,2,4507,122,97,90,111,115,115,132,110,164,163,159,172,254,258,304,333,356,345,383,363,361
1915,r008,All university patents -> Analysis of biological materials,All university patents,Analysis of biological materials,2,4501,181,160,129,163,145,144,140,124,148,155,182,176,273,257,250,301,308,288,298,350,331
1915,r009,"All university patents -> Electrical machinery, apparatus, energy",All university patents,"Electrical machinery, apparatus, energy",2,3108,88,99,80,80,89,100,113,99,123,99,93,98,166,132,156,178,218,234,265,301,298
1915,r010,All university patents -> Optics,All university patents,Optics,2,3034,101,104,128,102,142,136,151,145,151,140,134,134,155,126,167,156,176,182,175,175,153
1915,r011,All university patents -> Semiconductors,All university patents,Semiconductors,2,2987,69,77,80,99,108,139,98,98,100,95,79,111,161,164,169,202,225,227,240,236,208
1915,r012,All university patents -> Micro-structural and nano-technology,All university patents,Micro-structural and nano-technology,2,2279,38,34,46,49,65,79,92,88,109,110,105,105,141,158,145,187,183,184,143,123,93
1915,r013,All university patents -> Chemical engineering,All university patents,Chemical engineering,2,2233,78,86,78,76,71,97,87,81,80,71,69,69,111,99,119,137,139,157,167,189,172
1915,r014,"All university patents -> Macromolecular chemistry, polymers",All university patents,"Macromolecular chemistry, polymers",2,1802,59,77,69,73,80,89,59,51,67,59,40,56,92,80,81,117,110,116,133,150,144
1915,r015,All university patents -> Basic materials chemistry ,All university patents,Basic materials chemistry ,2,1763,55,67,61,71,52,70,59,54,60,44,47,52,73,84,96,138,118,125,141,135,162
1915,r016,All university patents -> Other special machines,All university patents,Other special machines,2,1549,64,62,65,73,82,79,57,55,56,58,46,56,75,72,77,89,86,86,99,100,112
1915,r017,"All university patents -> Materials, metallurgy",All university patents,"Materials, metallurgy",2,1526,67,60,59,59,63,61,51,48,54,53,40,62,74,75,82,99,85,103,112,114,106
1915,r018,All university patents -> Digital communication,All university patents,Digital communication,2,1436,14,11,25,27,27,23,33,35,63,61,55,61,87,115,119,91,127,119,112,115,115
1915,r019,"All university patents -> Surface technology, coating",All university patents,"Surface technology, coating",2,1325,38,51,62,57,57,58,50,45,40,48,43,36,66,61,74,79,79,82,87,103,108
1915,r020,All university patents -> Telecommunications,All university patents,Telecommunications,2,1259,33,29,24,37,50,41,59,42,56,54,49,55,62,62,84,70,78,85,86,96,106
1915,r021,All university patents -> Audio-visual technology,All university patents,Audio-visual technology,2,1073,50,42,32,44,38,41,38,35,52,39,36,37,44,40,67,70,55,74,77,88,74
1915,r022,All university patents -> Environmental technology,All university patents,Environmental technology,2,961,41,37,41,36,46,35,38,25,43,33,25,42,41,46,44,58,72,59,56,77,65
1915,r023,All university patents -> Basic communication processes,All university patents,Basic communication processes,2,916,23,20,20,14,20,24,42,47,41,48,51,53,49,64,51,61,57,54,63,53,61
1915,r024,"All university patents -> Engines, pumps, turbines",All university patents,"Engines, pumps, turbines",2,751,20,26,23,27,25,31,23,24,29,27,30,34,42,37,44,42,49,43,63,49,60
1915,r025,All university patents -> Control,All university patents,Control,2,686,24,18,20,19,23,24,20,19,31,24,14,21,33,31,37,49,47,41,54,69,68
1915,r026,All university patents -> Food chemistry,All university patents,Food chemistry,2,648,44,49,43,33,28,27,19,17,26,18,11,19,26,21,35,35,36,40,41,39,42
1915,r027,All university patents -> Transport,All university patents,Transport,2,476,7,22,16,18,16,14,21,19,19,17,14,10,25,28,24,34,33,33,29,30,48
1915,r028,All university patents -> Civil engineering,All university patents,Civil engineering,2,441,17,20,22,14,19,15,20,18,9,15,10,12,17,23,19,29,27,32,35,31,37
1915,r029,All university patents -> Mechanical elements,All university patents,Mechanical elements,2,431,15,16,19,18,19,17,19,14,18,18,11,9,17,20,23,30,29,26,26,39,30
1915,r030,All university patents -> Textile and paper machines,All university patents,Textile and paper machines,2,425,20,15,13,14,20,14,21,12,19,19,14,12,20,21,21,33,25,23,33,25,30
1915,r031,All university patents -> Machine tools,All university patents,Machine tools,2,413,21,24,13,16,19,19,22,13,18,19,14,19,18,23,21,24,30,20,18,22,18
1915,r032,All university patents -> IT methods for management,All university patents,IT methods for management,2,301,8,6,6,6,2,5,3,10,14,12,15,13,21,26,22,26,34,15,18,18,20
1915,r033,All university patents -> Thermal processes and apparatus,All university patents,Thermal processes and apparatus,2,276,13,11,7,11,10,15,14,10,11,10,8,8,12,10,9,17,19,15,19,19,28
1915,r034,All university patents -> Other consumer goods,All university patents,Other consumer goods,2,272,12,13,11,6,9,7,8,5,5,13,4,6,12,15,16,18,17,18,26,30,20
1915,r035,All university patents -> Handling,All university patents,Handling,2,217,9,7,3,5,7,5,5,5,4,6,4,1,9,8,14,16,18,20,21,25,26
1915,r036,"All university patents -> Furniture, games",All university patents,"Furniture, games",2,178,6,5,7,6,4,6,7,5,5,7,4,5,6,6,15,12,14,11,16,17,17
1915,r037,All university patents -> Unclassified,All university patents,Unclassified,2,433,5,6,9,9,5,9,12,20,19,8,16,17,29,38,36,27,33,27,29,41,38
