table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_organizations_,field_organizations_with_r_d_activity,field_organizations_without_r_d_activity
12349,r001,All organizations ,All organizations ,,1,"['1,536,236,382', '  ']","['857,790,377', '  ']","['678,446,006', '  ']"
12349,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['1,269,924,609', '  ']","['787,218,247', '  ']","['482,706,362', '  ']"
12349,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['23,004,434', '  ']","['20,962,916', '  ']","['2,041,518', '  ']"
12349,r004,All organizations  -> Other nonprofit organizations,All organizations ,Other nonprofit organizations,2,"['243,307,339', '  ']","['49,609,214', '  ']","['193,698,125', '  ']"
