table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3378,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1621,1695,1253,4.5,-26.0
3378,r002,R&D and R&D plant -> Air transportation (402),R&D and R&D plant,Air transportation (402),,,,2,1076,1120,1096,4.1,-2.2
3378,r003,R&D and R&D plant -> Air transportation (402) -> Federal Aviation Administration (DOT),R&D and R&D plant,Air transportation (402),Federal Aviation Administration (DOT),,,3,491,522,436,6.4,-16.4
3378,r004,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,,,3,,,,,
3378,r005,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,,4,565,575,630,1.8,9.6
3378,r006,R&D and R&D plant -> Air transportation (402) -> Transportation Security Administration (DHS),R&D and R&D plant,Air transportation (402),Transportation Security Administration (DHS),,,3,21,23,30,11.2,28.9
3378,r007,R&D and R&D plant -> Ground transportation (401) (DOT),R&D and R&D plant,Ground transportation (401) (DOT),,,,2,513,529,121,3.0,-77.1
3378,r008,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Highway Administration<sup>b</sup>,R&D and R&D plant,Ground transportation (401) (DOT),Federal Highway Administration<sup>b</sup>,,,3,376,381,NA,1.3,--
3378,r009,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Motor Carrier Safety Administration<sup>b</sup>,R&D and R&D plant,Ground transportation (401) (DOT),Federal Motor Carrier Safety Administration<sup>b</sup>,,,3,9,9,NA,0.0,--
3378,r010,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Railroad Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Railroad Administration,,,3,40,40,41,0.0,1.0
3378,r011,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Transit Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Transit Administration,,,3,28,36,33,28.6,-8.3
3378,r012,R&D and R&D plant -> Ground transportation (401) (DOT) -> National Highway Traffic Safety Administration,R&D and R&D plant,Ground transportation (401) (DOT),National Highway Traffic Safety Administration,,,3,60,62,47,3.7,-24.3
3378,r013,R&D and R&D plant -> Water transportation (403),R&D and R&D plant,Water transportation (403),,,,2,3,0,5,-100.0,--
3378,r014,R&D and R&D plant -> Water transportation (403) -> Coast Guard (DHS),R&D and R&D plant,Water transportation (403),Coast Guard (DHS),,,3,3,0,5,-100.0,--
3378,r015,R&D and R&D plant -> Other transportation (407) (DOT)<sup>c</sup>,R&D and R&D plant,Other transportation (407) (DOT)<sup>c</sup>,,,,2,29,46,32,59.9,-31.7
3378,r016,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1582,1656,1224,4.7,-26.1
3378,r017,R&D and R&D plant -> R&D -> Air transportation (402),R&D and R&D plant,R&D,Air transportation (402),,,3,1040,1085,1069,4.3,-1.5
3378,r018,R&D and R&D plant -> R&D -> Air transportation (402) -> Federal Aviation Administration (DOT),R&D and R&D plant,R&D,Air transportation (402),Federal Aviation Administration (DOT),,4,455,487,409,7.1,-15.9
3378,r019,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,,4,,,,,
3378,r020,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,5,565,575,630,1.8,9.6
3378,r021,R&D and R&D plant -> R&D -> Air transportation (402) -> Transportation Security Administration (DHS),R&D and R&D plant,R&D,Air transportation (402),Transportation Security Administration (DHS),,4,21,23,30,11.2,28.9
3378,r022,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT),R&D and R&D plant,R&D,Ground transportation (401) (DOT),,,3,510,525,119,3.0,-77.4
3378,r023,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Highway Administration<sup>b</sup>,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Highway Administration<sup>b</sup>,,4,374,379,NA,1.3,--
3378,r024,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Motor Carrier Safety Administration<sup>b</sup>,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Motor Carrier Safety Administration<sup>b</sup>,,4,9,9,NA,0.0,--
3378,r025,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Railroad Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Railroad Administration,,4,39,39,39,0.0,1.0
3378,r026,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Transit Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Transit Administration,,4,28,36,33,28.6,-8.3
3378,r027,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> National Highway Traffic Safety Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),National Highway Traffic Safety Administration,,4,60,62,47,3.7,-24.5
3378,r028,R&D and R&D plant -> R&D -> Water transportation (403),R&D and R&D plant,R&D,Water transportation (403),,,3,3,0,5,-100.0,--
3378,r029,R&D and R&D plant -> R&D -> Water transportation (403) -> Coast Guard (DHS),R&D and R&D plant,R&D,Water transportation (403),Coast Guard (DHS),,4,3,0,5,-100.0,--
3378,r030,R&D and R&D plant -> R&D -> Other transportation (407) (DOT)<sup>c</sup>,R&D and R&D plant,R&D,Other transportation (407) (DOT)<sup>c</sup>,,,3,29,46,32,59.9,-31.7
