table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_u_s_citizen_total_number,field_u_s_citizen_total_se,field_u_s_citizen_native_born_number,field_u_s_citizen_native_born_se,field_u_s_citizen_naturalized_number,field_u_s_citizen_naturalized_se,field_non_u_s_citizen_total_number,field_non_u_s_citizen_total_se,field_non_u_s_citizen_permanent_resident_number,field_non_u_s_citizen_permanent_resident_se,field_non_u_s_citizen_temporary_resident_number,field_non_u_s_citizen_temporary_resident_se
3693,r001,Doctorate recipient,Doctorate recipient,,,,1,857200,1975,732750,2000,555150,1575,177600,1675,124450,1600,87200,1475,37300,900
3693,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,
3693,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,546050,1750,458800,1875,335250,1525,123600,1350,87200,1400,60750,1275,26500,800
3693,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,311200,1200,273950,1250,219900,1150,54000,800,37250,825,26450,775,10800,500
3693,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,
3693,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>a</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>a</sup>,,3,37250,550,31850,500,20500,425,11350,325,5350,275,3500,200,1850,175
3693,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,,3,,,,,,,,,,,,,,
3693,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,4,1300,125,1250,125,1250,125,0.05,0.05,,,,,,
3693,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Asian,4,213350,1325,123800,1275,18750,575,105000,1300,89600,1175,60600,1200,29000,775
3693,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Black or African American,4,31100,400,27500,425,19250,350,8250,300,3600,250,2550,200,1050,150
3693,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,White,4,562350,1750,536900,1750,485550,1675,51350,1125,25450,875,20200,800,5250,400
