table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
5364,r001,All R&D fields,All R&D fields,,,1,138876,6652,4.8,76425,3454,4.5
5364,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,2,114804,5986,5.2,68434,4016,5.9
5364,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,3,5768,158,2.7,4224,108,2.6
5364,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",3,8239,113,1.4,5258,93,1.8
5364,r005,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,3,45796,3965,8.7,24408,2634,10.8
5364,r006,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,3,3329,294,8.8,1763,252,14.3
5364,r007,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,3,18372,706,3.8,12224,548,4.5
5364,r008,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,3,3703,154,4.2,1697,84,4.9
5364,r009,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,3,19231,356,1.9,13766,131,1.0
5364,r010,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,3,3815,107,2.8,1518,65,4.3
5364,r011,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,3,6551,133,2.0,3576,101,2.8
5364,r012,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,2,24072,1855,7.7,7991,320,4.0
