table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022
10847,r001,All fields,All fields,,,1,16808860
10847,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,399645
10847,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,704711
10847,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,124205
10847,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,32873
10847,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,219250
10847,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,328383
10847,r008,All fields -> Life sciences,All fields,Life sciences,,2,10073227
10847,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,107211
10847,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,5381993
10847,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,3399190
10847,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,18432
10847,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1166400
10847,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,109915
10847,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,480015
10847,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,75
10847,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,375980
10847,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,17543
10847,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,48202
10847,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,38215
10847,r021,All fields -> Psychology,All fields,Psychology,,2,1469912
10847,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,502
10847,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,3935
10847,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1465475
10847,r025,All fields -> Social sciences,All fields,Social sciences,,2,573349
10847,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,6979
10847,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,49249
10847,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,1502
10847,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,38421
10847,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,477198
10847,r031,All fields -> Engineering,All fields,Engineering,,2,2015822
10847,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,104449
10847,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,86558
10847,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,122297
10847,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,55613
10847,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,117530
10847,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,53344
10847,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,47152
10847,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,118619
10847,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1310261
10847,r041,All fields -> Other fields,All fields,Other fields,,2,982265
10847,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,35992
10847,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,7760
10847,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,485123
10847,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0.05
10847,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,91
10847,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10847,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10847,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,453300
