table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
5200,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,2444981212,607788664,1837192548
5200,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,25695555,6774915,18920640
5200,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,15193507,6143917,9049590
5200,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,16010502,3766942,12243560
5200,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,19921168,4966349,14954819
5200,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,533900597,22657670,511242927
5200,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,34365638,6659704,27705934
5200,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,58810853,15873807,42937046
5200,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3598156,1476864,2121292
5200,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,5860668,2560026,3300642
5200,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,184600202,30382990,154217212
5200,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,15877238,14101354,1775884
5200,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,11122545,7330911,3791634
5200,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,21882976,12620448,9262528
5200,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,16055917,7641755,8414162
5200,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,9591408,7126764,2464644
5200,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,12348062,7734114,4613948
5200,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,13152904,6612890,6540014
5200,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,26782125,6273543,20508582
5200,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,32360516,19451587,12908929
5200,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,29035990,4162595,24873395
5200,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,33407022,4016621,29390401
5200,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,31700411,11397894,20302517
5200,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,11191816,7184297,4007519
5200,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,20511698,6272311,14239387
5200,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,10268396,8768392,1500004
5200,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,14826364,5750412,9075952
5200,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,13131022,6777890,6353132
5200,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,32423818,6818177,25605641
5200,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,4764898,1606707,3158191
5200,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,8221518,639820,7581698
5200,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,23754925,3299908,20455017
5200,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,5227599,4238566,989033
5200,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,453807331,173176058,280631273
5200,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,35892185,9125937,26766248
5200,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,18065251,4025187,14040064
5200,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,76169661,8463693,67705968
5200,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,30050338,7922136,22128202
5200,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,30486113,11978580,18507533
5200,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,103098941,19656077,83442864
5200,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,4594040,1918239,2675801
5200,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,46800816,30291219,16509597
5200,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,2913274,752592,2160682
5200,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,7039923,4792328,2247595
5200,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,205206977,23192709,182014268
5200,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,9205399,1721014,7484385
5200,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,1669900,1119199,550701
5200,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,35552565,14998852,20553713
5200,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,57239095,14747139,42491956
5200,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,10862315,6903375,3958940
5200,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,14340014,8358684,5981330
5200,r052,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,6391060,3555506,2835554
