table_id,row_id,_b_type_of_r_d_performer_and_field_b_full_path,_b_type_of_r_d_performer_and_field_b_level_1,_b_type_of_r_d_performer_and_field_b_level_2,_b_type_of_r_d_performer_and_field_b_level_3,_b_type_of_r_d_performer_and_field_b_level_4,_b_type_of_r_d_performer_and_field_b_level_5,_b_type_of_r_d_performer_and_field_b_level_6,_b_type_of_r_d_performer_and_field_b_hierarchy_depth,field_2019,field_2020,field_preliminary_2021,field_preliminary_change_2020_21
6468,r001,Outlays for R&D and R&D plant,Outlays for R&D and R&D plant,,,,,,1,128141.5,149705.6,173169.3,15.7
6468,r002,Outlays for R&D and R&D plant -> R&D,Outlays for R&D and R&D plant,R&D,,,,,2,124854.5,144919.9,166468.4,14.9
6468,r003,Outlays for R&D and R&D plant -> R&D plant,Outlays for R&D and R&D plant,R&D plant,,,,,2,3287.0,4785.8,6700.9,40.0
6468,r004,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,,1,146800.7,173552.9,185408.1,6.8
6468,r005,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,,2,142424.2,167402.8,179465.2,7.2
6468,r006,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,,3,,,,
6468,r007,Obligations for R&D and R&D plant -> R&D -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Intramural<sup>a</sup>,,,4,39312.8,51471.7,64209.1,24.7
6468,r008,Obligations for R&D and R&D plant -> R&D -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Performer,Industry,,,4,44446.0,51428.0,52019.1,1.1
6468,r009,Obligations for R&D and R&D plant -> R&D -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,Industry-administered FFRDCs,,,4,6077.6,4118.7,4564.1,10.8
6468,r010,Obligations for R&D and R&D plant -> R&D -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Performer,Universities and colleges,,,4,34000.5,38540.9,37749.6,-2.1
6468,r011,Obligations for R&D and R&D plant -> R&D -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,University-administered FFRDCs,,,4,5351.9,5355.2,5236.7,-2.2
6468,r012,Obligations for R&D and R&D plant -> R&D -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Performer,Other nonprofit institutions,,,4,8450.2,10698.9,10469.1,-2.1
6468,r013,Obligations for R&D and R&D plant -> R&D -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,Nonprofit-administered FFRDCs,,,4,3261.5,3676.0,3792.0,3.2
6468,r014,Obligations for R&D and R&D plant -> R&D -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Performer,State and local governments,,,4,586.5,720.1,669.5,-7.0
