table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_business_or_industry,field_4_year_educational_institutiona,field_2_year_college_or_precollege_educational_institution,field_governmentb
6856,r001,"All college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations",,,,,1,48223000,33510000,3056000,6849000,4808000
6856,r002,"All college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations",S&E occupations,,,,2,6769000,4888000,880000,216000,785000
6856,r003,"All college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,266000,222000,19000,104000
6856,r004,"All college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,,3,3419000,2827000,211000,88000,292000
6856,r005,"All college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,,3,366000,154000,109000,26000,76000
6856,r006,"All college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,,3,646000,253000,221000,76000,95000
6856,r007,"All college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",S&E occupations,Engineers,,,3,1728000,1387000,116000,6000,218000
6856,r008,"All college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations",S&E-related occupations,,,,2,8271000,5869000,595000,1165000,643000
6856,r009,"All college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations",Non-S&E occupations,,,,2,33183000,22753000,1582000,5468000,3379000
6856,r010,"All college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations",Bachelor's,,,,2,30131000,22630000,1191000,3355000,2954000
6856,r011,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,,3,3846000,3075000,266000,74000,431000
6856,r012,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,230000,129000,63000,3000,34000
6856,r013,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Computer and mathematical scientists,,4,2219000,1898000,87000,40000,194000
6856,r014,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Physical and related scientists,,4,164000,73000,35000,,37000
6856,r015,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Social and related scientists,,4,172000,85000,42000,9000,36000
6856,r016,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Engineers,,4,1061000,890000,39000,2000,130000
6856,r017,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E-related occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E-related occupations,,,3,4338000,3244000,218000,496000,381000
6856,r018,"All college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,,3,21946000,16311000,708000,2786000,2141000
6856,r019,"All college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations",Master's,,,,2,13260000,7763000,919000,3268000,1311000
6856,r020,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations",Master's,S&E occupations,,,3,2069000,1464000,234000,110000,261000
6856,r021,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,149000,61000,44000,6000,37000
