table_id,row_id,highest_degree_level_full_path,highest_degree_level_level_1,highest_degree_level_level_2,highest_degree_level_hierarchy_depth,field_biological_agricultural_and_environmental_life_scientists,field_computer_and_mathematical_scientists,field_physical_scientists,field_social_scientists,field_engineers
4421,r001,All degree levels,All degree levels,,1,74.4,47.8,71.3,53.9,67.6
4421,r002,All degree levels -> Bachelor's,All degree levels,Bachelor's,2,68.7,46.6,65.2,63.9,64.7
4421,r003,All degree levels -> Master's,All degree levels,Master's,2,69.9,46.2,67.2,49.0,69.5
4421,r004,All degree levels -> Doctorate,All degree levels,Doctorate,2,84.2,72.7,85.1,56.3,84.1
