table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
6405,r001,All agencies surveyed,All agencies surveyed,,,,1,1791749.2,48702.9,2240.0,73160.3,7840.0,152730.3,74829.8,215875.2,1216370.7
6405,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,,,,,
6405,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,42812.5,0.0,0.0,15.0,0.0,0.0,0.0,0.0,42797.5
6405,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,704.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.7
6405,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,122.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,107.0
6405,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,41985.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41985.8
6405,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,386221.2,48702.9,2240.0,10222.7,4019.9,51841.3,20306.5,43504.6,205383.2
6405,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,24349.9,0.0,0.0,0.0,0.0,1076.7,0.0,1569.9,21703.3
6405,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,222150.3,29946.5,1447.9,5838.4,0.0,12003.9,4621.3,6428.9,161863.3
6405,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,16139.0,0.0,0.0,0.0,0.0,5295.7,5137.8,5705.5,0.0
6405,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,83810.9,14427.0,0.0,730.9,0.0,22445.3,2400.9,23227.7,20579.0
6405,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,39771.2,4329.3,792.1,3653.5,4019.9,11019.6,8146.4,6572.7,1237.7
6405,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,1546.3,0.0,0.0,0.0,0.0,1546.3,0.0,0.0,0.0
6405,r014,All agencies surveyed -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies surveyed,Departments,Department of Energy,Electricity Delivery and Energy Reliability,4,1546.3,0.0,0.0,0.0,0.0,1546.3,0.0,0.0,0.0
6405,r015,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,565958.0,0.0,0.0,0.0,0.0,0.0,0.0,5144.9,560813.2
6405,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,565958.0,0.0,0.0,0.0,0.0,0.0,0.0,5144.9,560813.2
6405,r017,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,3,11415.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11415.5
6405,r018,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,4,11415.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11415.5
6405,r019,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,,,,,
6405,r020,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,783795.5,0.0,0.0,62922.5,3820.1,99342.7,54523.3,167225.8,395961.2
