table_id,row_id,degree_level_and_field_full_path,degree_level_and_field_level_1,degree_level_and_field_level_2,degree_level_and_field_hierarchy_depth,field_2012,field_2021,field_percent_change
9791,r001,Certificates,Certificates,,1,,,
9791,r002,Certificates -> Health professions and related programs,Certificates,Health professions and related programs,2,413354,266333,-35.6
9791,r003,Certificates -> Homeland security and fire protection,Certificates,Homeland security and fire protection,2,9046,9511,5.1
9791,r004,Certificates -> Science and mathematics teacher education,Certificates,Science and mathematics teacher education,2,33,81,145.5
9791,r005,Certificates -> Technology and technical fields,Certificates,Technology and technical fields,2,35920,35918,0.05
9791,r006,Certificates -> Other S&E-related fields,Certificates,Other S&E-related fields,2,152876,162891,6.6
9791,r007,Associate's degrees,Associate's degrees,,1,,,
9791,r008,Associate's degrees -> Health professions and related programs,Associate's degrees,Health professions and related programs,2,217779,187273,-14.0
9791,r009,Associate's degrees -> Homeland security and fire protection,Associate's degrees,Homeland security and fire protection,2,5172,4636,-10.4
9791,r010,Associate's degrees -> Science and mathematics teacher education,Associate's degrees,Science and mathematics teacher education,2,80,56,-30.0
9791,r011,Associate's degrees -> Technology and technical fields,Associate's degrees,Technology and technical fields,2,39651,24753,-37.6
9791,r012,Associate's degrees -> Other S&E-related fields,Associate's degrees,Other S&E-related fields,2,33737,36287,7.6
9791,r013,Bachelor's degrees,Bachelor's degrees,,1,,,
9791,r014,Bachelor's degrees -> Health professions and related programs,Bachelor's degrees,Health professions and related programs,2,182585,299237,63.9
9791,r015,Bachelor's degrees -> Homeland security and fire protection,Bachelor's degrees,Homeland security and fire protection,2,2901,5298,82.6
9791,r016,Bachelor's degrees -> Science and mathematics teacher education,Bachelor's degrees,Science and mathematics teacher education,2,5039,3455,-31.4
9791,r017,Bachelor's degrees -> Technology and technical fields,Bachelor's degrees,Technology and technical fields,2,19593,22569,15.2
9791,r018,Bachelor's degrees -> Other S&E-related fields,Bachelor's degrees,Other S&E-related fields,2,3433,3361,-2.1
9791,r019,Master's degrees,Master's degrees,,1,,,
9791,r020,Master's degrees -> Health professions and related programs,Master's degrees,Health professions and related programs,2,86248,146478,69.8
9791,r021,Master's degrees -> Homeland security and fire protection,Master's degrees,Homeland security and fire protection,2,1414,3084,118.1
9791,r022,Master's degrees -> Science and mathematics teacher education,Master's degrees,Science and mathematics teacher education,2,4492,3702,-17.6
9791,r023,Master's degrees -> Technology and technical fields,Master's degrees,Technology and technical fields,2,5000,7204,44.1
9791,r024,Master's degrees -> Other S&E-related fields,Master's degrees,Other S&E-related fields,2,1610,181,-88.8
9791,r025,Doctoral degrees,Doctoral degrees,,1,,,
9791,r026,Doctoral degrees -> Health professions and related programs,Doctoral degrees,Health professions and related programs,2,175,172,-1.7
9791,r027,Doctoral degrees -> Homeland security and fire protection,Doctoral degrees,Homeland security and fire protection,2,1,35,3400.0
9791,r028,Doctoral degrees -> Science and mathematics teacher education,Doctoral degrees,Science and mathematics teacher education,2,177,111,-37.3
9791,r029,Doctoral degrees -> Technology and technical fields,Doctoral degrees,Technology and technical fields,2,90,149,65.6
9791,r030,Doctoral degrees -> Other S&E-related fields,Doctoral degrees,Other S&E-related fields,2,1,2,100.0
