table_id,row_id,region_country_or_economy,algeria,argentina,australia,austria,bangladesh,belgium,brazil,bulgaria,canada,chile,china,colombia,czechia,denmark,egypt,finland,france,germany,greece,hungary,india,indonesia,iran,iraq,ireland,israel,italy,japan,jordan,malaysia,mexico,morocco,netherlands,new_zealand,norway,pakistan,philippines,poland,portugal,romania,russia,saudi_arabia,serbia,singapore,slovakia,south_africa,south_korea,spain,sri_lanka,sweden,switzerland,taiwan,thailand,tunisia,turkey,united_kingdom,ukraine,united_arab_emirates,united_states,vietnam
10062,r001,Algeria,0.0,0.0,0.12,0.0,0.0,0.57,0.07,0.0,0.79,0.09,0.13,0.63,0.05,0.56,2.1,0.7,6.22,0.09,0.59,0.0,0.39,0.16,0.46,0.42,0.38,0.04,0.32,0.08,2.34,0.26,0.4,3.12,0.02,0.06,0.84,0.72,0.0,0.17,0.16,0.5,0.25,2.16,0.0,0.01,0.0,0.48,0.18,0.47,0.0,0.18,0.13,0.08,0.08,2.67,1.51,0.39,0.13,2.22,0.14,0.16
10062,r002,Argentina,0.0,0.0,0.44,0.59,0.0,0.8,3.6,0.43,0.39,6.63,0.04,7.82,1.01,0.41,0.0,0.08,1.14,0.68,0.0,0.17,0.18,0.0,0.06,0.0,0.6,0.0,1.38,0.08,0.23,0.0,4.21,0.0,0.59,0.0,0.11,0.0,0.0,0.19,0.42,0.24,0.09,0.04,0.0,0.07,1.31,1.45,0.0,4.09,0.0,0.26,0.24,0.06,0.0,0.13,0.15,0.41,0.0,0.34,0.46,0.0
10062,r003,Australia,0.12,0.44,0.0,0.46,1.7,0.34,0.42,0.45,0.45,0.73,1.41,0.22,0.21,0.48,0.45,0.44,0.38,0.48,0.31,0.3,0.75,0.66,1.1,1.01,0.48,0.27,0.44,0.42,0.58,0.93,0.25,0.06,0.45,1.56,0.47,0.64,0.55,0.65,0.26,0.12,0.32,0.54,0.15,1.01,0.22,0.53,0.56,0.38,2.77,0.61,0.46,0.61,0.37,0.08,0.36,0.55,0.05,0.63,0.54,1.1
10062,r004,Austria,0.0,0.59,0.46,0.0,0.0,1.07,0.44,0.39,0.27,0.36,0.15,0.05,2.99,1.16,0.14,1.96,0.69,2.84,0.97,3.05,0.15,0.49,0.44,0.04,0.77,0.53,1.65,0.32,0.05,0.1,0.27,0.07,1.18,0.65,0.92,0.24,0.0,0.9,0.83,1.18,0.71,0.06,0.98,0.41,3.83,0.24,0.15,1.0,0.14,1.25,1.58,0.2,0.23,0.21,0.64,0.82,0.2,0.34,0.49,0.24
10062,r005,Bangladesh,0.0,0.0,1.7,0.0,0.0,0.27,0.1,0.0,0.71,0.1,0.26,0.0,0.1,0.61,0.55,0.67,0.16,0.21,0.08,0.08,1.53,0.23,0.2,0.27,0.41,0.0,0.25,1.8,0.0,3.39,0.0,0.29,0.02,0.21,0.42,0.26,0.37,0.03,0.38,0.12,0.09,2.19,0.14,0.1,0.0,0.21,1.19,0.11,0.58,0.7,0.0,0.06,1.9,0.13,0.41,0.49,0.0,0.51,0.67,0.46
10062,r006,Belgium,0.57,0.8,0.34,1.07,0.27,0.0,0.77,1.65,0.35,1.06,0.24,1.16,1.21,1.15,0.22,1.12,1.23,1.2,1.51,0.75,0.15,0.07,0.38,0.03,1.34,0.61,1.39,0.25,0.18,0.05,0.3,0.91,3.4,0.33,0.58,0.1,0.0,0.73,1.06,1.88,0.35,0.16,0.27,0.2,1.05,0.48,0.17,1.36,0.0,1.22,1.74,0.2,0.06,0.41,0.79,1.0,0.88,0.23,0.47,0.47
10062,r007,Brazil,0.07,3.6,0.42,0.44,0.1,0.77,0.0,0.21,1.11,3.0,0.1,2.78,0.37,0.39,0.18,0.66,1.24,0.73,0.36,0.22,0.35,0.02,0.28,0.09,0.97,0.33,0.74,0.3,0.31,0.17,0.79,0.24,0.61,0.79,0.64,0.2,0.12,0.31,5.8,0.12,0.34,0.21,0.14,0.09,0.9,0.55,0.19,1.35,0.0,0.62,0.49,0.11,0.14,0.02,0.05,0.76,0.0,0.37,0.63,0.12
10062,r008,Bulgaria,0.0,0.43,0.45,0.39,0.0,1.65,0.21,0.0,0.14,0.26,0.17,0.0,0.94,1.49,0.4,0.68,0.58,1.06,3.32,0.68,0.76,0.0,0.16,0.24,5.55,0.13,0.55,0.2,0.0,0.0,0.51,0.39,0.49,0.37,0.29,0.09,0.0,2.96,1.69,2.74,3.72,0.06,1.87,0.17,2.61,0.28,0.37,0.77,0.0,1.11,0.19,0.15,0.0,0.0,0.69,1.01,7.57,0.11,0.31,0.15
10062,r009,Canada,0.79,0.39,0.45,0.27,0.71,0.35,1.11,0.14,0.0,0.67,1.02,0.37,0.42,0.46,0.96,0.32,0.6,0.41,0.29,0.47,0.51,0.03,1.9,0.23,0.44,0.86,0.43,0.44,0.36,0.19,0.44,0.96,0.42,0.39,0.75,0.34,0.12,2.06,0.28,0.98,0.3,1.09,0.43,0.42,0.15,0.71,0.62,0.25,0.66,0.36,0.53,0.44,0.32,0.66,0.9,0.45,0.19,1.08,0.84,0.49
10062,r010,Chile,0.09,6.63,0.73,0.36,0.1,1.06,3.0,0.26,0.67,0.0,0.12,9.25,0.74,0.5,0.12,0.1,0.84,0.75,0.26,0.0,0.39,0.0,0.39,0.0,0.73,0.41,0.48,0.35,0.14,0.06,4.43,0.54,0.6,1.29,0.52,0.04,0.0,0.56,0.47,0.07,0.11,0.25,0.17,0.04,0.66,0.0,0.12,3.49,0.0,0.35,0.37,0.11,0.0,0.08,0.09,0.67,0.0,0.0,0.47,0.0
10062,r011,China,0.13,0.04,1.41,0.15,0.26,0.24,0.1,0.17,1.02,0.12,0.0,0.04,0.22,0.44,0.38,0.54,0.28,0.32,0.16,0.13,0.29,0.13,0.31,0.21,0.36,0.09,0.22,1.1,0.21,0.27,0.16,0.06,0.28,0.91,0.5,0.81,0.8,0.38,0.24,0.1,0.35,0.67,0.36,1.77,0.33,0.38,0.72,0.21,0.1,0.34,0.22,1.28,0.32,0.08,0.23,0.9,0.18,0.37,1.08,0.42
10062,r012,Colombia,0.63,7.82,0.22,0.05,0.0,1.16,2.78,0.0,0.37,9.25,0.04,0.0,0.51,0.51,0.29,0.3,0.82,0.44,0.06,0.12,0.36,0.59,0.21,0.65,0.69,0.07,0.4,0.03,0.5,0.07,6.12,0.21,0.34,0.3,0.23,0.24,0.53,0.31,0.86,0.09,0.52,0.16,0.0,0.0,0.0,0.0,0.14,4.05,0.0,0.14,0.64,0.08,0.0,0.38,0.16,0.43,0.0,0.12,0.5,0.0
10062,r013,Czechia,0.05,1.01,0.21,2.99,0.1,1.21,0.37,0.94,0.42,0.74,0.22,0.51,0.0,1.06,0.77,1.31,0.72,0.89,0.33,1.5,0.88,0.3,1.39,0.34,1.24,1.06,0.97,0.43,0.44,1.2,0.63,0.28,0.76,0.09,0.95,0.08,0.0,1.68,0.45,0.54,1.65,0.25,2.13,0.12,30.42,0.13,0.2,1.24,0.0,0.89,0.86,0.16,0.47,0.96,0.92,0.55,2.06,0.3,0.57,1.94
10062,r014,Denmark,0.56,0.41,0.48,1.16,0.61,1.15,0.39,1.49,0.46,0.5,0.44,0.51,1.06,0.0,0.16,2.06,0.48,1.54,1.4,0.49,0.66,0.08,1.5,0.12,0.8,1.11,1.11,0.36,0.0,0.15,0.15,0.47,1.59,0.54,3.28,0.38,0.47,0.87,0.81,0.5,0.49,0.29,0.54,0.47,0.0,0.6,0.24,0.9,0.38,2.7,0.83,0.13,1.06,0.17,0.67,0.8,0.45,0.19,0.61,0.11
