table_id,row_id,_b_origin_of_doctoral_degree_b_full_path,_b_origin_of_doctoral_degree_b_level_1,_b_origin_of_doctoral_degree_b_level_2,_b_origin_of_doctoral_degree_b_hierarchy_depth,field_imputation_rate_,field_number_imputed
8275,r001,All postdoctoral appointees,All postdoctoral appointees,,1,4.6,2927
8275,r002,All postdoctoral appointees -> United States,All postdoctoral appointees,United States,2,11.0,2692
8275,r003,All postdoctoral appointees -> Foreign country,All postdoctoral appointees,Foreign country,2,12.6,2415
8275,r004,All postdoctoral appointees -> Unknown origin,All postdoctoral appointees,Unknown origin,2,8.2,1632
