table_id,row_id,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_female,field_bachelor_s_male,field_master_s_female,field_master_s_male,field_doctorate_female,field_doctorate_male
1279,r001,All ethnicities and races,All ethnicities and races,,,,,,1,13002000,14271000,7197000,8001000,4246000,3990000,590000,913000
1279,r002,All ethnicities and races -> S&E occupations<sup>b</sup>,All ethnicities and races,S&E occupations<sup>b</sup>,,,,,2,1966000,4803000,979000,2867000,670000,1399000,279000,507000
1279,r003,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,,,,3,1697000,3344000,831000,1955000,567000,954000,263000,406000
1279,r004,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,,,4,292000,319000,119000,110000,75000,74000,90000,127000
1279,r005,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,,,4,796000,2332000,515000,1585000,253000,669000,24000,72000
1279,r006,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,,,4,123000,168000,55000,64000,45000,72000,23000,32000
1279,r007,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,,,4,107000,259000,49000,115000,39000,59000,19000,82000
1279,r008,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,,,4,173000,77000,25000,8000,78000,24000,54000,37000
1279,r009,All ethnicities and races -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,,,4,206000,190000,67000,S,77000,56000,53000,56000
1279,r010,All ethnicities and races -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,,,3,269000,1459000,149000,912000,104000,445000,16000,101000
