table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb
1312,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
1312,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,45.2,46.8,53.3
1312,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,27.0,26.5,20.4
1312,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,8.9,8.7,9.3
1312,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,8.0,7.5,8.2
1312,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,2.8,2.7,1.6
1312,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,2.0,2.0,1.5
1312,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.8,1.7,1.7
1312,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.2,1.1,1.1
1312,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1.1,1.0,1.1
1312,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,0.8,0.8,0.7
1312,r012,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.6,0.5,0.4
1312,r013,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.4,0.4,0.5
1312,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.2,0.2,0.1
1312,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.1,0.05,0.1
1312,r016,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.1,0.1,0.1
1312,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.05,0.05
1312,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
1312,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,45.8,47.4,54.2
1312,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,27.5,28.8,20.7
1312,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,8.0,7.8,8.3
1312,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,8.1,7.6,8.4
1312,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,2.8,2.7,1.7
1312,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,1.9,1.9,1.4
1312,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,1.7,1.6,1.5
1312,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1.2,1.1,1.1
1312,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1.1,1.0,1.1
1312,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,0.7,0.7,0.6
1312,r029,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,0.6,0.5,0.4
1312,r030,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,0.4,0.4,0.5
1312,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,0.2,0.3,0.1
1312,r032,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,0.1,0.05,0.1
1312,r033,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,0.1,0.1,0.1
1312,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,0.05,0.05,0.05
1312,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,100.0,100.0,100.0
1312,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,18.3,12.9,22.3
1312,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,5.3,7.9,7.8
1312,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,2.0,0.9,1.7
1312,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,51.7,52.9,47.1
1312,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,1.0,1.0,0.6
1312,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,6.0,7.9,5.9
1312,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,8.2,8.7,9.6
1312,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,1.4,1.4,1.2
1312,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0.0,0.0,0.0
1312,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,5.2,5.5,2.1
1312,r046,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0.0,0.0,0.2
1312,r047,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,1.0,0.9,1.5
1312,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0.0,0.0,0.0
1312,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0.0,0.0,0.0
1312,r050,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0.0,0.0,0.0
1312,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0.0,0.0,0.0
