table_id,row_id,_b_type_of_r_d_performer_and_field_b_full_path,_b_type_of_r_d_performer_and_field_b_level_1,_b_type_of_r_d_performer_and_field_b_level_2,_b_type_of_r_d_performer_and_field_b_level_3,_b_type_of_r_d_performer_and_field_b_level_4,_b_type_of_r_d_performer_and_field_b_level_5,_b_type_of_r_d_performer_and_field_b_level_6,_b_type_of_r_d_performer_and_field_b_hierarchy_depth,field_2021,field_2022,field_2023_preliminary_,field__change_fy_2021_22,field__change_fy_2022_23_preliminary_
10798,r001,Outlays for R&D and R&D plant,Outlays for R&D and R&D plant,,,,,,1,178334,183064,177595,2.7,-3.0
10798,r002,Outlays for R&D and R&D plant -> R&D,Outlays for R&D and R&D plant,R&D,,,,,2,174529,178880,171890,2.5,-3.9
10798,r003,Outlays for R&D and R&D plant -> R&D plant,Outlays for R&D and R&D plant,R&D plant,,,,,2,3805,4185,5706,10.0,36.3
10798,r004,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,,1,193896,196595,192969,1.4,-1.8
10798,r005,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,,2,189614,190422,186448,0.4,-2.1
10798,r006,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,,3,,,,,
10798,r007,Obligations for R&D and R&D plant -> R&D -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Federal agencies<sup>a</sup>,,,4,72826,70780,52795,-2.8,-25.4
10798,r008,Obligations for R&D and R&D plant -> R&D -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,FFRDCs,,,4,14791,15381,17459,4.0,13.5
10798,r009,Obligations for R&D and R&D plant -> R&D -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Performer,Businesses,,,4,50225,50205,57898,0.0,15.3
10798,r010,Obligations for R&D and R&D plant -> R&D -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Performer,Higher education<sup>b</sup>,,,4,39766,42179,45431,6.1,7.7
10798,r011,Obligations for R&D and R&D plant -> R&D -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D,Performer,Nonprofit organizations,,,4,10287,10136,11174,-1.5,10.2
10798,r012,Obligations for R&D and R&D plant -> R&D -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Performer,State and local governments,,,4,966,925,895,-4.3,-3.2
10798,r013,Obligations for R&D and R&D plant -> R&D -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D,Performer,Non-U.S. performers,,,4,753,818,797,8.6,-2.5
10798,r014,Obligations for R&D and R&D plant -> R&D -> Research,Obligations for R&D and R&D plant,R&D,Research,,,,3,85896,93807,99481,9.2,6.0
10798,r015,Obligations for R&D and R&D plant -> R&D -> Research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Performer,,,4,,,,,
10798,r016,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Performer,Federal agencies<sup>a</sup>,,5,17532,20651,22913,17.8,11.0
10798,r017,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Performer,FFRDCs,,5,10529,11133,12865,5.7,15.6
10798,r018,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Research,Performer,Businesses,,5,10790,12679,11542,17.5,-9.0
10798,r019,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Research,Performer,Higher education<sup>b</sup>,,5,37027,39069,41529,5.5,6.3
10798,r020,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D,Research,Performer,Nonprofit organizations,,5,8644,8797,9257,1.8,5.2
10798,r021,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Performer,State and local governments,,5,887,862,850,-2.8,-1.5
10798,r022,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D,Research,Performer,Non-U.S. performers,,5,488,615,524,26.2,-14.8
10798,r023,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,,,4,,,,,
10798,r024,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Computer and information sciences,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Computer and information sciences,,5,5350,4831,5459,-9.7,13.0
10798,r025,"Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Geosciences, atmospheric sciences, and ocean sciences",Obligations for R&D and R&D plant,R&D,Research,Field of R&D,"Geosciences, atmospheric sciences, and ocean sciences",,5,5042,5566,6712,10.4,20.6
10798,r026,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Life sciences,,5,38249,41610,42330,8.8,1.7
10798,r027,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Mathematics and statistics,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Mathematics and statistics,,5,715,904,929,26.4,2.8
10798,r028,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Physical sciences,,5,10048,12099,12665,20.4,4.7
10798,r029,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Psychology,,5,3770,4588,4880,21.7,6.4
10798,r030,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Social sciences,,5,1370,1917,2160,39.9,12.7
10798,r031,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Engineering,,5,14650,15497,16758,5.8,8.1
10798,r032,Obligations for R&D and R&D plant -> R&D -> Research -> Field of R&D -> Other fields,Obligations for R&D and R&D plant,R&D,Research,Field of R&D,Other fields,,5,6703,6796,7587,1.4,11.6
10798,r033,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research,Obligations for R&D and R&D plant,R&D,Research,Basic research,,,4,42266,45393,48467,7.4,6.8
10798,r034,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,,5,,,,,
10798,r035,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Federal agencies<sup>a</sup>,6,6523,7820,8378,19.9,7.1
10798,r036,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,FFRDCs,6,5805,6731,7904,16.0,17.4
10798,r037,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Businesses,6,3785,3858,4560,1.9,18.2
10798,r038,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Higher education<sup>b</sup>,6,21441,22260,22751,3.8,2.2
10798,r039,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Nonprofit organizations,6,3948,3982,4114,0.9,3.3
10798,r040,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,State and local governments,6,533,544,555,2.0,2.2
10798,r041,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Non-U.S. performers,6,232,199,204,-14.2,2.7
10798,r042,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,,5,,,,,
10798,r043,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Computer and information sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Computer and information sciences,6,2264,2298,2431,1.5,5.8
10798,r044,"Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Geosciences, atmospheric sciences, and ocean sciences",Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,"Geosciences, atmospheric sciences, and ocean sciences",6,3057,3441,3991,12.6,16.0
10798,r045,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Life sciences,6,19016,19052,20388,0.2,7.0
10798,r046,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Mathematics and statistics,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Mathematics and statistics,6,503,608,616,20.9,1.2
10798,r047,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Physical sciences,6,8184,9449,9751,15.5,3.2
10798,r048,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Psychology,6,1934,2288,2434,18.3,6.4
10798,r049,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Social sciences,6,537,766,822,42.6,7.3
10798,r050,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Engineering,6,3212,3739,3923,16.4,4.9
10798,r051,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of R&D -> Other fields,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of R&D,Other fields,6,3558,3752,4112,5.5,9.6
10798,r052,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research,Obligations for R&D and R&D plant,R&D,Research,Applied research,,,4,43630,48414,51014,11.0,5.4
10798,r053,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,,5,,,,,
10798,r054,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Federal agencies<sup>a</sup>,6,11008,12831,14535,16.6,13.3
10798,r055,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,FFRDCs,6,4724,4402,4961,-6.8,12.7
10798,r056,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Businesses,6,7004,8822,6982,25.9,-20.9
10798,r057,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Higher education<sup>b</sup>,6,15586,16809,18778,7.8,11.7
10798,r058,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Nonprofit organizations,6,4697,4816,5143,2.5,6.8
10798,r059,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,State and local governments,6,354,319,294,-10.1,-7.6
10798,r060,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Non-U.S. performers,6,256,416,320,62.8,-23.1
10798,r061,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,,5,,,,,
10798,r062,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Computer and information sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Computer and information sciences,6,3086,2533,3029,-17.9,19.6
10798,r063,"Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Geosciences, atmospheric sciences, and ocean sciences",Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,"Geosciences, atmospheric sciences, and ocean sciences",6,1985,2125,2721,7.0,28.1
10798,r064,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Life sciences,6,19232,22558,21942,17.3,-2.7
10798,r065,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Mathematics and statistics,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Mathematics and statistics,6,212,296,313,39.3,6.0
10798,r066,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Physical sciences,6,1864,2650,2914,42.2,10.0
10798,r067,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Psychology,6,1836,2300,2446,25.3,6.4
10798,r068,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Social sciences,6,832,1151,1338,38.3,16.3
10798,r069,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Engineering,6,11438,11758,12835,2.8,9.2
10798,r070,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of R&D -> Other fields,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of R&D,Other fields,6,3145,3045,3475,-3.2,14.1
10798,r071,Obligations for R&D and R&D plant -> R&D -> Experimental development,Obligations for R&D and R&D plant,R&D,Experimental development,,,,3,103718,96615,86967,-6.8,-10.0
10798,r072,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,,,4,,,,,
10798,r073,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Federal agencies<sup>a</sup>,,5,55294,50129,29882,-9.3,-40.4
10798,r074,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,FFRDCs,,5,4263,4248,4593,-0.3,8.1
10798,r075,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Businesses,,5,39435,37526,46356,-4.8,23.5
10798,r076,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Higher education<sup>b</sup>,,5,2740,3110,3902,13.5,25.5
10798,r077,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Nonprofit organizations,,5,1642,1338,1917,-18.5,43.2
10798,r078,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,State and local governments,,5,79,62,45,-21.1,-27.5
10798,r079,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Non-U.S. performers,,5,265,202,273,-23.8,34.8
10798,r080,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,,,4,,,,,
10798,r081,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Computer and information sciences,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Computer and information sciences,,5,3175,2442,3071,-23.1,25.8
10798,r082,"Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Geosciences, atmospheric sciences, and ocean sciences",Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,"Geosciences, atmospheric sciences, and ocean sciences",,5,2160,724,815,-66.5,12.5
10798,r083,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Life sciences,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Life sciences,,5,39394,30408,5769,-22.8,-81.0
10798,r084,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Mathematics and statistics,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Mathematics and statistics,,5,292,226,289,-22.6,28.1
10798,r085,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Physical sciences,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Physical sciences,,5,3552,3415,4325,-3.9,26.6
10798,r086,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Psychology,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Psychology,,5,364,383,493,5.3,28.8
10798,r087,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Social sciences,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Social sciences,,5,139,149,209,7.4,40.1
10798,r088,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Engineering,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Engineering,,5,44333,44427,54070,0.2,21.7
10798,r089,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Field of R&D -> Other fields,Obligations for R&D and R&D plant,R&D,Experimental development,Field of R&D,Other fields,,5,10310,14440,17926,40.1,24.1
10798,r090,Obligations for R&D and R&D plant -> R&D plant,Obligations for R&D and R&D plant,R&D plant,,,,,2,4282,6173,6521,44.2,5.6
10798,r091,Obligations for R&D and R&D plant -> R&D plant -> Performer,Obligations for R&D and R&D plant,R&D plant,Performer,,,,3,,,,,
10798,r092,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D plant,Performer,Federal agencies<sup>a</sup>,,,4,883,1096,2138,24.1,95.1
10798,r093,Obligations for R&D and R&D plant -> R&D plant -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D plant,Performer,FFRDCs,,,4,2019,3437,2409,70.2,-29.9
10798,r094,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D plant,Performer,Businesses,,,4,858,1020,1144,18.9,12.1
10798,r095,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D plant,Performer,Higher education<sup>b</sup>,,,4,360,463,633,28.4,36.7
10798,r096,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Nonprofit organizations,Obligations for R&D and R&D plant,R&D plant,Performer,Nonprofit organizations,,,4,155,149,190,-4.3,28.0
10798,r097,Obligations for R&D and R&D plant -> R&D plant -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D plant,Performer,State and local governments,,,4,6,8,7,21.2,-7.1
10798,r098,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Non-U.S. performers,Obligations for R&D and R&D plant,R&D plant,Performer,Non-U.S. performers,,,4,0.05,1,0.05,267.1,-62.6
