table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_othera
9948,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,2643991142,127263681,327115797,540876111,1100991524,290871093,256872936
9948,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,88219991,326726,667842,70126266,1751080,3692380,11655697
9948,r003,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,63419633,0,0,62000000,1419633,0,0
9948,r004,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1219039,0,0,1219039,0,0,0
9948,r005,"United States<sup>b</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>b</sup>,Alabama,"Economic and Community Affairs, Department of",3,1693012,326726,85710,241463,331447,28593,679073
9948,r006,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,6214729,0,0,0,0,0,6214729
9948,r007,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,208094,0,0,0,0,0,208094
9948,r008,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,3563032,0,582132,2980900,0,0,0
9948,r009,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3684864,0,0,3684864,0,0,0
9948,r010,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,4553801,0,0,0,0,0,4553801
9948,r011,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,3663787,0,0,0,0,3663787,0
9948,r012,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,17157228,0,731152,10015251,534187,4808710,1067928
9948,r013,United States<sup>b</sup> -> Alaska -> Energy Authority,United States<sup>b</sup>,Alaska,Energy Authority,3,231152,0,231152,0,0,0,0
9948,r014,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,534187,0,0,0,534187,0,0
9948,r015,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0,0,0,0
