table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10327,r001,All locations,All locations,,,1,1856,2178,2792,2402,2594,3806,4329,6081,4282
10327,r002,All locations -> Alabama,All locations,Alabama,,2,39,12,14,2,9,128,125,58,7
10327,r003,All locations -> Alaska,All locations,Alaska,,2,8,8,8,10,7,17,7,12,9
10327,r004,All locations -> Arizona,All locations,Arizona,,2,1,29,86,99,62,16,13,3,11
10327,r005,All locations -> Arkansas,All locations,Arkansas,,2,3,6,5,4,5,3,0,1,3
10327,r006,All locations -> California,All locations,California,,2,166,247,307,451,480,656,677,669,656
10327,r007,All locations -> Colorado,All locations,Colorado,,2,151,170,74,113,46,267,365,141,137
10327,r008,All locations -> Connecticut,All locations,Connecticut,,2,2,3,2,1,2,3,1,0.05,20
10327,r009,All locations -> Delaware,All locations,Delaware,,2,0.05,1,0.05,1,1,2,10,6,1
10327,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,168,225,40,50,32,325,151,98,134
10327,r011,All locations -> Florida,All locations,Florida,,2,38,104,30,29,18,80,34,128,74
10327,r012,All locations -> Georgia,All locations,Georgia,,2,92,37,5,12,144,11,7,38,22
10327,r013,All locations -> Hawaii,All locations,Hawaii,,2,13,15,14,15,15,19,24,6,6
10327,r014,All locations -> Idaho,All locations,Idaho,,2,1,3,81,89,117,0,3,250,322
10327,r015,All locations -> Illinois,All locations,Illinois,,2,103,109,126,177,207,383,471,578,533
10327,r016,All locations -> Indiana,All locations,Indiana,,2,3,1,8,8,4,4,9,1,2
10327,r017,All locations -> Iowa,All locations,Iowa,,2,8,4,2,4,4,18,2,4,5
10327,r018,All locations -> Kansas,All locations,Kansas,,2,2,1,816,1,14,11,12,13,13
10327,r019,All locations -> Kentucky,All locations,Kentucky,,2,1,1,1,3,0.05,2,7,64,6
10327,r020,All locations -> Louisiana,All locations,Louisiana,,2,12,2,1,3,17,21,26,24,30
10327,r021,All locations -> Maine,All locations,Maine,,2,2,1,1,1,1,1,0.05,0,0
10327,r022,All locations -> Maryland,All locations,Maryland,,2,264,203,208,328,259,478,648,1828,426
10327,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,14,27,25,30,30,18,40,19,22
10327,r024,All locations -> Michigan,All locations,Michigan,,2,24,60,96,108,104,99,85,51,15
10327,r025,All locations -> Minnesota,All locations,Minnesota,,2,2,3,3,3,2,1,3,3,2
10327,r026,All locations -> Mississippi,All locations,Mississippi,,2,15,14,18,19,16,15,14,12,12
10327,r027,All locations -> Missouri,All locations,Missouri,,2,3,10,5,12,6,5,11,45,11
10327,r028,All locations -> Montana,All locations,Montana,,2,1,0.05,1,4,0.05,3,0.05,2,0.05
10327,r029,All locations -> Nebraska,All locations,Nebraska,,2,1,1,3,0.05,0.05,0.05,1,0,2
10327,r030,All locations -> Nevada,All locations,Nevada,,2,0.05,1,0.05,0.05,14,27,1,34,195
10327,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,1,0.05,1,2,0.05,2,1,3,7
10327,r032,All locations -> New Jersey,All locations,New Jersey,,2,56,72,45,46,47,49,81,41,205
10327,r033,All locations -> New Mexico,All locations,New Mexico,,2,83,90,86,66,40,87,257,73,202
10327,r034,All locations -> New York,All locations,New York,,2,94,173,204,154,148,99,130,233,157
10327,r035,All locations -> North Carolina,All locations,North Carolina,,2,7,8,6,8,12,9,23,54,19
10327,r036,All locations -> North Dakota,All locations,North Dakota,,2,0,0.05,0.05,0.05,1,1,0.05,1,3
10327,r037,All locations -> Ohio,All locations,Ohio,,2,5,4,8,121,76,83,95,81,67
10327,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,8,7,10,1,4,3,11,4,13
