table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
12258,r001,Total,Total,,,1,2900,2800,100,N 
12258,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,900,850,40,N 
12258,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,650,600,30,N 
12258,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,250,250,N ,0
12258,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,na,na,na,na
12258,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,na,na,na,na
12258,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,na,na,na,na
12258,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2000,1900,60,N 
12258,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,450,450,20,N 
12258,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1500,1500,40,N 
12258,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,30,20,N ,0
