table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
1458,r001,Total,Total,,,1,2751,2671,69,11
1458,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,689,664,21,4
1458,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,530,513,13,4
1458,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,159,151,8,0
1458,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,29,27,2,0
1458,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,23,22,1,0
1458,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,6,5,1,0
1458,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2017,1965,46,6
1458,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,542,525,14,3
1458,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1475,1440,32,3
1458,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,16,15,0,1
