table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
12467,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['5,710,570', '&nbsp;']","['4,397,991', '&nbsp;']","['194,028', '&nbsp;']","['297,357', '&nbsp;']","['40,302', '&nbsp;']","['20,741', '&nbsp;']","['13,423', '&nbsp;']","['694,536', '&nbsp;']","['35,873', '&nbsp;']","['16,319', '&nbsp;']"
12467,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['694,247', '&nbsp;']","['565,191', '&nbsp;']","['5,420', '&nbsp;']","['21,436', '&nbsp;']","['3,087', '&nbsp;']","['2,105', '&nbsp;']","['2,374', '&nbsp;']","['91,538', '&nbsp;']","['3,008', '&nbsp;']","['88', '&nbsp;']"
12467,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['17,426', '&nbsp;']","['15,187', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['279', 'r']","['1,857', 'r']","['103', 'r']","['0', '&nbsp;']"
12467,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['9,268', 'r']","['9,268', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['898', 'r']","['898', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['159', '&nbsp;']","['159', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['168,564', '&nbsp;']","['144,654', '&nbsp;']","['264', '&nbsp;']","['8,547', '&nbsp;']","['570', '&nbsp;']","['941', '&nbsp;']","['1,751', '&nbsp;']","['11,414', '&nbsp;']","['421', 'r']","['0', '&nbsp;']"
12467,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['125,474', '&nbsp;']","['107,319', '&nbsp;']","['264', '&nbsp;']","['7,732', '&nbsp;']","['226', '&nbsp;']","['761', '&nbsp;']","['1,751', '&nbsp;']","['6,998', '&nbsp;']","['421', 'r']","['0', '&nbsp;']"
12467,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['43,090', '&nbsp;']","['37,335', '&nbsp;']","['0', '&nbsp;']","['815', '&nbsp;']","['344', '&nbsp;']","['180', '&nbsp;']","['0', '&nbsp;']","['4,416', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['14,467', '&nbsp;']","['14,319', '&nbsp;']","['0', '&nbsp;']","['148', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['3,608', '&nbsp;']","['3,428', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['90', '&nbsp;']","['90', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['3,214', '&nbsp;']","['1,647', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,567', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['44,875', '&nbsp;']","['27,397', 'r']","['0', '&nbsp;']","['2,601', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['14,877', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['44,334', '&nbsp;']","['33,487', '&nbsp;']","['0', '&nbsp;']","['3,702', 'r']","['145', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['7,001', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['171,928', '&nbsp;']","['136,511', '&nbsp;']","['3,211', '&nbsp;']","['4,576', '&nbsp;']","['260', 'r']","['226', 'r']","['222', 'r']","['26,446', '&nbsp;']","['389', 'r']","['88', '&nbsp;']"
12467,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['46,427', '&nbsp;']","['30,786', '&nbsp;']","['3,211', '&nbsp;']","['1,978', 'r']","['253', 'r']","['226', 'r']","['212', 'r']","['9,285', '&nbsp;']","['389', 'r']","['88', '&nbsp;']"
12467,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['94,814', '&nbsp;']","['77,366', '&nbsp;']","['0', '&nbsp;']","['676', 'r']","['6', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['16,756', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['30,686', '&nbsp;']","['28,359', '&nbsp;']","['0', '&nbsp;']","['1,922', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['405', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['14,597', '&nbsp;']","['10,458', '&nbsp;']","['1,849', '&nbsp;']","['282', 'r']","['44', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['1,954', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']"
12467,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['36,738', '&nbsp;']","['22,765', '&nbsp;']","['0', '&nbsp;']","['960', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['11,575', 'r']","['1,438', 'r']","['0', '&nbsp;']"
12467,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['19,882', '&nbsp;']","['16,718', '&nbsp;']","['0', '&nbsp;']","['891', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,273', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['16,856', '&nbsp;']","['6,047', 'r']","['0', '&nbsp;']","['69', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['9,301', 'r']","['1,438', 'r']","['0', '&nbsp;']"
12467,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['212', '&nbsp;']","['212', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12467,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['163,959', '&nbsp;']","['144,802', '&nbsp;']","['95', '&nbsp;']","['620', 'r']","['1,978', 'r']","['848', 'r']","['121', 'r']","['14,847', '&nbsp;']","['647', 'r']","['0', '&nbsp;']"
12467,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['5,016,323', '&nbsp;']","['3,832,799', '&nbsp;']","['188,608', '&nbsp;']","['275,920', '&nbsp;']","['37,215', 'r']","['18,636', '&nbsp;']","['11,049', '&nbsp;']","['602,999', '&nbsp;']","['32,865', '&nbsp;']","['16,232', '&nbsp;']"
12467,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['305,962', '&nbsp;']","['233,624', '&nbsp;']","['18,378', '&nbsp;']","['4,944', 'r']","['12,901', 'r']","['1,197', 'r']","['0', '&nbsp;']","['33,300', 'r']","['417', 'r']","['1,202', '&nbsp;']"
