table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total_forms_mailed_initially_total,field_total_forms_mailed_initially_brdi_1,field_total_forms_mailed_initially_brdi_1_s_,field_brdi_1_forms_mailed_due_to_reported_data_from_brdi_1_s_forms,field_total_brdi_1_forms_mailed
797,r001,Total,Total,,,1,44204,6752,37452,1348,8100
797,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,17346,6682,10664,782,7464
797,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,11370,6051,5319,470,6521
797,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,5976,631,5345,312,943
797,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,3433,19,3414,33,52
797,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1951,19,1932,26,45
797,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,1482,0,1482,7,7
797,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23373,3,23370,531,534
797,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5935,3,5932,392,395
797,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17438,0,17438,139,139
797,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,52,48,4,2,50
