table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
7696,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,673691209,298503344,339030831,5007428,12247549,15871174,3030883
7696,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,17295499,2700032,14369750,138647,87070,0,0
7696,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,13677498,6394346,5097774,2185378,0,0,0
7696,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,3522494,2549694,952253,0,20547,0,0
7696,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,170429,38919,131510,0,0,0,0
7696,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,81309690,3696424,77406561,206705,0,0,0
7696,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,11957421,3646854,8260965,0,48004,1598,0
7696,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,27217883,11631280,15586603,0,0,0,0
7696,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1894419,307938,1586481,0,0,0,0
7696,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,3705656,2474200,1154586,0,40683,0,36187
7696,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,50793339,14207726,32005707,267,97679,3512563,969397
7696,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2016590,1927148,89442,0,0,0,0
7696,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,2311413,2311413,0,0,0,0,0
7696,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7124769,5868974,1001191,18610,52346,183648,0
7696,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,0,554067,0,0,0,0
7696,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,470344,200428,269916,0,0,0,0
7696,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3091936,1562393,1446047,0,83496,0,0
7696,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,1294643,826068,439040,0,0,0,29535
7696,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,1946017,1191485,754532,0,0,0,0
7696,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,9555840,7012283,2543557,0,0,0,0
