table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
9652,r001,All states,All states,,1,"['602,499', '  ']","['527,804', '  ']","['74,695', '  ']","['23,582', '  ']","['51,113', '  ']"
9652,r002,All states -> Alabama,All states,Alabama,2,"['2,910', '  ']","['1,383', '  ']","['1,528', 'i ']","['1,209', 'i ']","['319', 'i ']"
9652,r003,All states -> Alaska,All states,Alaska,2,"['207', 'i ']","['188', 'i ']","['18', '  ']","['0 - 19', '  ']","['0 - 19', '  ']"
9652,r004,All states -> Arizona,All states,Arizona,2,"['9,386', '  ']","['6,947', '  ']","['2,440', 'i ']","['1,645', 'i ']","['795', '  ']"
9652,r005,All states -> Arkansas,All states,Arkansas,2,"['497', '  ']","['452', '  ']","['45', '  ']","['0 - 46', '  ']","['0 - 46', '  ']"
9652,r006,All states -> California,All states,California,2,"['211,615', '  ']","['199,157', '  ']","['12,458', '  ']","['3,847', '  ']","['8,611', '  ']"
9652,r007,All states -> Colorado,All states,Colorado,2,"['8,098', '  ']","['7,213', '  ']","['886', '  ']","['599', '  ']","['286', 'i ']"
9652,r008,All states -> Connecticut,All states,Connecticut,2,"['8,429', '  ']","['6,887', '  ']","['1,543', '  ']","['1,356', '  ']","['187', '  ']"
9652,r009,All states -> Delaware,All states,Delaware,2,"['3,592', '  ']","['2,137', '  ']","['1,455', '  ']","['11', '  ']","['1,444', '  ']"
9652,r010,All states -> District of Columbia,All states,District of Columbia,2,"['744', '  ']","['652', '  ']","['92', '  ']","['57', '  ']","['35', '  ']"
9652,r011,All states -> Florida,All states,Florida,2,"['9,688', '  ']","['7,545', '  ']","['2,143', '  ']","['1,310', 'i ']","['834', '  ']"
9652,r012,All states -> Georgia,All states,Georgia,2,"['6,448', '  ']","['5,249', '  ']","['1,199', 'i ']","['101', '  ']","['1,098', 'i ']"
9652,r013,All states -> Hawaii,All states,Hawaii,2,"['409', '  ']","['372', 'i ']","['38', '  ']","['0 - 38', '  ']","['0 - 38', '  ']"
9652,r014,All states -> Idaho,All states,Idaho,2,"['2,258', '  ']","['2,203', '  ']","['54', '  ']","['5', 'i ']","['49', '  ']"
9652,r015,All states -> Illinois,All states,Illinois,2,"['16,485', '  ']","['15,398', '  ']","['1,087', '  ']","['60', '  ']","['1,027', '  ']"
9652,r016,All states -> Indiana,All states,Indiana,2,"['9,514', 'i ']","['7,888', 'i ']","['1,627', '  ']","['123', '  ']","['1,504', '  ']"
9652,r017,All states -> Iowa,All states,Iowa,2,"['3,045', '  ']","['2,338', '  ']","['707', 'i ']","['0 - 708', 'i ']","['0 - 708', '  ']"
9652,r018,All states -> Kansas,All states,Kansas,2,"['2,748', '  ']","['1,960', '  ']","['788', 'i ']","['29', '  ']","['760', 'i ']"
9652,r019,All states -> Kentucky,All states,Kentucky,2,"['1,486', '  ']","['897', '  ']","['590', '  ']","['265', '  ']","['325', '  ']"
9652,r020,All states -> Louisiana,All states,Louisiana,2,"['530', '  ']","['444', '  ']","['86', '  ']","['45', '  ']","['41', '  ']"
9652,r021,All states -> Maine,All states,Maine,2,"['499', '  ']","['444', '  ']","['55', '  ']","['37', '  ']","['18', '  ']"
9652,r022,All states -> Maryland,All states,Maryland,2,"['6,432', '  ']","['4,550', '  ']","['1,882', '  ']","['1,218', '  ']","['664', 'i ']"
9652,r023,All states -> Massachusetts,All states,Massachusetts,2,"['39,749', '  ']","['33,937', '  ']","['5,812', '  ']","['1,554', '  ']","['4,258', '  ']"
9652,r024,All states -> Michigan,All states,Michigan,2,"['22,381', '  ']","['19,420', '  ']","['2,962', '  ']","['299', '  ']","['2,663', '  ']"
9652,r025,All states -> Minnesota,All states,Minnesota,2,"['8,248', '  ']","['7,754', '  ']","['494', '  ']","['128', '  ']","['365', '  ']"
9652,r026,All states -> Mississippi,All states,Mississippi,2,"['343', '  ']","['307', '  ']","['36', '  ']","['0 - 37', '  ']","['0 - 37', 'i ']"
9652,r027,All states -> Missouri,All states,Missouri,2,"['7,060', '  ']","['4,927', '  ']","['2,133', 'i ']","['0 - 2,134', 'i ']","['0 - 2,134', '  ']"
9652,r028,All states -> Montana,All states,Montana,2,"['261', '  ']","['237', '  ']","['24', '  ']","['3', '  ']","['21', '  ']"
9652,r029,All states -> Nebraska,All states,Nebraska,2,"['1,067', '  ']","['1,004', '  ']","['62', '  ']","['12', '  ']","['50', '  ']"
