table_id,row_id,_b_source_of_funds_and_r_d_field_b_full_path,_b_source_of_funds_and_r_d_field_b_level_1,_b_source_of_funds_and_r_d_field_b_level_2,_b_source_of_funds_and_r_d_field_b_level_3,_b_source_of_funds_and_r_d_field_b_hierarchy_depth,field_all_institutions,field_survey_population_short_form,field_survey_population_standard_form
7944,r001,All R&D expenditures,All R&D expenditures,,,1,89872007,148560,89723447
7944,r002,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,,2,49228127,84667,49143460
7944,r003,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,,2,4745398,9383,4736015
7944,r004,All R&D expenditures -> Institution funds,All R&D expenditures,Institution funds,,2,22481841,33479,22448362
7944,r005,All R&D expenditures -> Institution funds -> Institutionally financed research,All R&D expenditures,Institution funds,Institutionally financed research,3,14973889,28242,14945647
7944,r006,All R&D expenditures -> Institution funds -> Cost sharing,All R&D expenditures,Institution funds,Cost sharing,3,1627858,1925,1625933
7944,r007,All R&D expenditures -> Institution funds -> Unrecovered indirect costs,All R&D expenditures,Institution funds,Unrecovered indirect costs,3,5880094,3312,5876782
7944,r008,All R&D expenditures -> Business,All R&D expenditures,Business,,2,5118899,3419,5115480
7944,r009,All R&D expenditures -> Nonprofit organizations,All R&D expenditures,Nonprofit organizations,,2,5604133,13860,5590273
7944,r010,All R&D expenditures -> All other sources,All R&D expenditures,All other sources,,2,2693609,3752,2689857
7944,r011,All R&D expenditures -> Science,All R&D expenditures,Science,,2,70431261,114731,70316530
7944,r012,All R&D expenditures -> Science -> Computer and information sciences,All R&D expenditures,Science,Computer and information sciences,3,2959709,7786,2951923
7944,r013,"All R&D expenditures -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D expenditures,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,3304219,8336,3295883
7944,r014,All R&D expenditures -> Science -> Life sciences,All R&D expenditures,Science,Life sciences,3,52424127,59531,52364596
7944,r015,All R&D expenditures -> Science -> Mathematics and statistics,All R&D expenditures,Science,Mathematics and statistics,3,776627,3692,772935
7944,r016,All R&D expenditures -> Science -> Physical sciences,All R&D expenditures,Science,Physical sciences,3,5759095,18465,5740630
7944,r017,All R&D expenditures -> Science -> Psychology,All R&D expenditures,Science,Psychology,3,1330183,4153,1326030
7944,r018,All R&D expenditures -> Science -> Social sciences,All R&D expenditures,Science,Social sciences,3,2851179,9146,2842033
7944,r019,All R&D expenditures -> Science -> Sciences nec,All R&D expenditures,Science,Sciences nec,3,1026122,3622,1022500
7944,r020,All R&D expenditures -> Engineering,All R&D expenditures,Engineering,,2,14302940,9453,14293487
7944,r021,All R&D expenditures -> Non-S&E,All R&D expenditures,Non-S&E,,2,5137806,24376,5113430
