table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_asian_number,field_asian_median_salary_,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_median_salary_,field_black_or_african_american_number,field_black_or_african_american_median_salary_,field_hispanic_or_latino_number,field_hispanic_or_latino_median_salary_,field_white_number,field_white_median_salary_,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_median_salary_,field_more_than_one_race_number,field_more_than_one_race_median_salary_
1625,r001,All occupations,All occupations,,,,1,12315000,80000,2028000,90000,43000,67000,845000,56000,1058000,65000,8075000,80000,38000,83000,227000,75000
1625,r002,S&E occupations,S&E occupations,,,,1,4643000,93000,1067000,100000,8000,94000,232000,80000,314000,80000,2931000,94000,17000,85000,74000,90000
1625,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,2208000,100000,668000,104000,s,s,147000,79000,118000,87000,1236000,101000,7000,77000,31000,98000
1625,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,2047000,100000,629000,105000,s,s,139000,79000,109000,89000,1133000,104000,7000,77000,29000,97000
1625,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,62000,108000,17000,140000,s,s,s,s,1000,s,42000,98000,s,s,s,s
1625,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,36000,118000,7000,113000,s,s,s,s,s,s,26000,123000,s,s,s,s
1625,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,131000,63000,14000,85000,s,s,29000,54000,7000,44000,81000,64000,s,s,s,s
1625,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,218000,93000,80000,93000,s,s,17000,95000,13000,74000,104000,94000,s,s,4000,74000
1625,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,68000,85000,18000,76000,s,s,3000,s,3000,s,38000,94000,s,s,s,s
1625,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,75000,110000,18000,118000,s,s,13000,90000,s,s,34000,111000,s,s,s,s
1625,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,114000,82000,21000,98000,s,s,19000,72000,4000,79000,67000,82000,s,s,4000,73000
1625,r012,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers, applications and systems software",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Software developers, applications and systems software",4,483000,108000,180000,109000,s,s,22000,69000,16000,96000,260000,110000,s,s,4000,90000
1625,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,73000,95000,14000,80000,s,s,4000,s,6000,75000,47000,99000,s,s,2000,s
1625,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,178000,93000,27000,94000,s,s,12000,57000,10000,80000,127000,96000,s,s,2000,s
1625,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers &#8212; software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers &#8212; software,4,608000,111000,233000,107000,s,s,18000,98000,42000,118000,308000,114000,s,s,5000,104000
1625,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,103000,96000,27000,99000,s,s,5000,90000,7000,79000,63000,92000,s,s,1000,113000
1625,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,3000,100000,1000,63000,s,s,s,s,s,s,1000,120000,s,s,s,s
1625,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,49000,95000,12000,99000,s,s,3000,67000,4000,67000,29000,94000,s,s,1000,s
1625,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,36000,99000,12000,109000,s,s,1000,85000,2000,87000,21000,99000,s,s,s,s
1625,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,16000,s,2000,s,s,s,s,s,s,s,13000,s,s,s,s,s
1625,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,,3,58000,72000,12000,79000,s,s,3000,71000,3000,65000,40000,70000,s,s,s,s
