table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
9686,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,941', '  ']","['1,590', '  ']","['327', '  ']","['24', '  ']","['1,311', '  ']","['1,113', '  ']","['187', '  ']","['10', 'i ']"
9686,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['923', '  ']","['792', '  ']","['123', '  ']","['8', '  ']","['622', '  ']","['564', '  ']","['54', '  ']","['4', 'i ']"
9686,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['24', '  ']","['19', '  ']","['4', '  ']","['*', '  ']","['12', '  ']","['11', '  ']","['1', 'i ']","['*', 'i ']"
9686,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['4', '  ']","['4', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['3', '  ']","['*', 'i ']","['*', 'r ']"
9686,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['5', '  ']","['4', '  ']","['1', '  ']","['*', 'r ']","['2', '  ']","['2', '  ']","['*', '  ']","['*', 'i ']"
9686,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['0', '  ']"
9686,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5', '  ']","['4', '  ']","['1', '  ']","['*', '  ']","['4', '  ']","['3', '  ']","['*', '  ']","['*', 'i ']"
9686,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']"
9686,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['5', '  ']","['4', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
9686,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['190', '  ']","['176', '  ']","['13', '  ']","['2', '  ']","['121', '  ']","['118', '  ']","['3', '  ']","['1', '  ']"
9686,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['11', '  ']","['10', '  ']","['1', '  ']","['*', '  ']","['7', '  ']","['6', '  ']","['*', '  ']","['*', '  ']"
9686,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['6', '  ']","['5', '  ']","['*', '  ']","['*', 'r ']","['4', '  ']","['3', '  ']","['*', '  ']","['*', '  ']"
9686,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['4', '  ']","['4', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['3', '  ']","['*', '  ']","['*', '  ']"
9686,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['149', '  ']","['139', '  ']","['10', '  ']","['1', '  ']","['94', '  ']","['91', '  ']","['2', '  ']","['*', '  ']"
9686,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['11', '  ']","['10', '  ']","['1', '  ']","['*', '  ']","['8', '  ']","['8', '  ']","['*', 'i ']","['*', 'i ']"
9686,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['9', '  ']","['8', '  ']","['1', '  ']","['*', '  ']","['6', '  ']","['6', '  ']","['*', '  ']","['*', '  ']"
9686,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['19', '  ']","['14', '  ']","['5', '  ']","['*', '  ']","['10', '  ']","['8', '  ']","['2', 'i ']","['*', '  ']"
9686,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7', '  ']","['5', '  ']","['1', '  ']","['1', '  ']","['4', '  ']","['3', '  ']","['1', '  ']","['*', 'i ']"
9686,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['7', '  ']","['2', '  ']","['5', '  ']","['*', '  ']","['2', '  ']","['1', '  ']","['1', '  ']","['*', 'r ']"
9686,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['35', '  ']","['20', '  ']","['15', '  ']","['1', '  ']","['12', '  ']","['8', '  ']","['4', '  ']","['*', '  ']"
9686,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['86', '  ']","['66', '  ']","['20', '  ']","['1', '  ']","['57', '  ']","['46', '  ']","['11', '  ']","['1', '  ']"
9686,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['9', '  ']","['9', '  ']","['1', '  ']","['*', '  ']","['6', '  ']","['6', '  ']","['*', '  ']","['*', '  ']"
9686,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['14', 'i ']","['13', 'i ']","['*', 'i ']","['*', 'i ']","['8', 'i ']","['7', 'i ']","['*', 'i ']","['*', 'i ']"
9686,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['7', '  ']","['7', '  ']","['1', '  ']","['*', '  ']","['6', '  ']","['6', '  ']","['*', '  ']","['*', '  ']"
9686,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['56', '  ']","['37', '  ']","['18', '  ']","['1', '  ']","['37', '  ']","['26', '  ']","['10', '  ']","['*', '  ']"
9686,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['247', '  ']","['229', '  ']","['17', 'i ']","['1', '  ']","['194', '  ']","['183', '  ']","['10', 'i ']","['1', '  ']"
9686,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['48', '  ']","['47', '  ']","['1', '  ']","['*', '  ']","['33', '  ']","['33', '  ']","['*', 'i ']","['*', '  ']"
9686,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['88', '  ']","['81', '  ']","['7', '  ']","['*', '  ']","['76', '  ']","['72', '  ']","['4', '  ']","['*', 'i ']"
9686,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['51', '  ']","['43', '  ']","['8', 'i ']","['1', '  ']","['33', '  ']","['28', '  ']","['5', 'i ']","['*', '  ']"
9686,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['8', '  ']","['7', '  ']","['1', '  ']","['*', '  ']","['5', '  ']","['4', '  ']","['*', '  ']","['*', 'i ']"
9686,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['19', '  ']","['14', '  ']","['5', 'i ']","['*', '  ']","['10', 'i ']","['7', '  ']","['4', 'i ']","['*', '  ']"
9686,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['24', '  ']","['22', '  ']","['2', '  ']","['*', '  ']","['18', '  ']","['17', '  ']","['1', '  ']","['*', '  ']"
9686,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['60', '  ']","['58', '  ']","['1', 'r ']","['*', '  ']","['51', '  ']","['51', '  ']","['1', '  ']","['*', '  ']"
9686,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['24', '  ']","['21', '  ']","['2', '  ']","['*', '  ']","['15', '  ']","['14', '  ']","['1', '  ']","['*', '  ']"
9686,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['176', '  ']","['148', '  ']","['27', '  ']","['1', '  ']","['130', '  ']","['113', '  ']","['16', 'i ']","['1', 'i ']"
9686,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['104', '  ']","['98', '  ']","['6', '  ']","['*', '  ']","['80', '  ']","['77', '  ']","['3', '  ']","['*', '  ']"
9686,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['61', '  ']","['40', '  ']","['20', '  ']","['1', '  ']","['44', 'i ']","['31', 'i ']","['13', 'i ']","['*', 'i ']"
