table_id,row_id,rank,baccalaureate_institution_,aian_doctorate_recipients,institutional_control,2018_carnegie_classification,haiane_status
7147,r001,na,Life sciencesa,,,,
7147,r002,1,"U. New Mexico, Albuquerque",14,Public,R1: doctoral universities,No
7147,r003,2,"U. Oklahoma, Norman",8,Public,R1: doctoral universities,No
7147,r004,3,Arizona State U.,7,Public,R1: doctoral universities,No
7147,r005,4,"Oklahoma State U., Stillwater",5,Public,R1: doctoral universities,No
7147,r006,4,U. North Dakota,5,Public,R2: doctoral universities,No
7147,r007,4,U. Tulsa,5,Private,R2: doctoral universities,No
7147,r008,na,Psychology and social sciences ,,,,
7147,r009,1,"U. Oklahoma, Norman",14,Public,R1: doctoral universities,No
7147,r010,2,"U. New Mexico, Albuquerque",11,Public,R1: doctoral universities,No
7147,r011,3,U. North Dakota,10,Public,R2: doctoral universities,No
7147,r012,4,"Oklahoma State U., Stillwater",9,Public,R1: doctoral universities,No
7147,r013,5,U. Arizona,8,Public,R1: doctoral universities,No
7147,r014,6,"U. Alaska, Fairbanks",6,Public,Baccalaureate colleges: arts and sciences focus,Yes
7147,r015,6,"U. Michigan, Ann Arbor",6,Public,R1: doctoral universities,No
7147,r016,6,"U. Montana, Missoula",6,Public,R2: doctoral universities,No
7147,r017,9,"Brigham Young U., Provo",5,Private,R2: doctoral universities,No
7147,r018,9,Dartmouth C.,5,Private,R1: doctoral universities,No
7147,r019,9,Northern Arizona U.,5,Public,R2: doctoral universities,No
7147,r020,9,U. Oregon,5,Public,R1: doctoral universities,No
7147,r021,na,Engineering,,,,
7147,r022,1,"Oklahoma State U., Stillwater",5,Public,R1: doctoral universities,No
7147,r023,na,Education,,,,
7147,r024,1,Northeastern State U.,13,Public,M1: master's institutions - larger programs,Yes
7147,r025,2,"U. Oklahoma, Norman",12,Public,R1: doctoral universities,No
7147,r026,3,"Oklahoma State U., Stillwater",7,Public,R1: doctoral universities,No
7147,r027,4,Arizona State U.,6,Public,R1: doctoral universities,No
7147,r028,4,Northern Arizona U.,6,Public,R2: doctoral universities,No
7147,r029,6,Fort Lewis C.,5,Public,Baccalaureate colleges: arts and sciences focus,Yes
7147,r030,6,U. North Dakota,5,Public,R2: doctoral universities,No
7147,r031,na,Humanities and arts,,,,
7147,r032,1,Northeastern State U.,5,Public,M1: master's institutions - larger programs,Yes
7147,r033,1,"Oklahoma State U., Stillwater",5,Public,R1: doctoral universities,No
7147,r034,1,"U. Oklahoma, Norman",5,Public,R1: doctoral universities,No
