table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_public_institutions,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_public_institutions,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_public_institutions,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_public_institutions,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_public_institutions
10739,r001,All broad fields,All broad fields,,,1,798534,67.1,501311,65.3,297223,70.3,62750,53.3,32279,68.8
10739,r002,All broad fields -> Science,All broad fields,Science,,2,538166,66.1,331983,64.0,206183,69.4,36673,56.3,19423,69.3
10739,r003,All broad fields -> Science -> Agricultural and veterinary sciences,All broad fields,Science,Agricultural and veterinary sciences,3,11596,94.3,6949,93.7,4647,95.2,1705,88.9,1068,94.1
10739,r004,All broad fields -> Science -> Biological and biomedical sciences,All broad fields,Science,Biological and biomedical sciences,3,102700,62.6,43062,59.8,59638,64.6,19585,49.7,8207,58.2
10739,r005,All broad fields -> Science -> Computer and information sciences,All broad fields,Science,Computer and information sciences,3,150555,70.4,129972,70.7,20583,68.6,859,53.0,507,83.8
10739,r006,"All broad fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All broad fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,11970,82.3,5186,87.2,6784,78.6,1787,71.8,2448,86.9
10739,r007,All broad fields -> Science -> Mathematics and statistics,All broad fields,Science,Mathematics and statistics,3,34387,63.8,20798,56.6,13589,74.9,1110,58.5,251,81.3
10739,r008,All broad fields -> Science -> Multidisciplinary and interdisciplinary sciences,All broad fields,Science,Multidisciplinary and interdisciplinary sciences,3,20945,61.9,16931,59.7,4014,71.2,840,58.1,931,68.1
10739,r009,All broad fields -> Science -> Natural resources and conservation,All broad fields,Science,Natural resources and conservation,3,13762,84.5,9807,82.9,3955,88.4,936,85.5,605,94.0
10739,r010,All broad fields -> Science -> Physical sciences,All broad fields,Science,Physical sciences,3,44092,72.2,6256,72.0,37836,72.2,6877,59.6,2894,70.3
10739,r011,All broad fields -> Science -> Psychology,All broad fields,Science,Psychology,3,69442,54.4,48321,48.4,21121,68.0,1308,56.0,786,76.3
10739,r012,All broad fields -> Science -> Social sciences,All broad fields,Science,Social sciences,3,78717,61.5,44701,58.0,34016,66.2,1666,52.2,1726,63.0
10739,r013,All broad fields -> Engineering,All broad fields,Engineering,,2,176000,69.7,103020,67.6,72980,72.6,8335,59.9,4355,76.0
10739,r014,"All broad fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All broad fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,8095,75.7,5263,72.9,2832,80.9,244,68.0,153,79.1
10739,r015,"All broad fields -> Engineering -> Biological, biomedical, and biosystems engineering",All broad fields,Engineering,"Biological, biomedical, and biosystems engineering",3,14442,59.3,5177,58.3,9265,59.8,1540,41.8,685,56.1
10739,r016,"All broad fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All broad fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,10601,68.7,3011,64.3,7590,70.4,1239,58.9,313,78.0
10739,r017,"All broad fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All broad fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,20375,76.7,12621,74.6,7754,80.2,1018,71.7,569,81.0
10739,r018,"All broad fields -> Engineering -> Electrical, electronics, communications and computer engineering",All broad fields,Engineering,"Electrical, electronics, communications and computer engineering",3,49901,66.5,32316,62.5,17585,73.7,1217,60.9,734,77.4
10739,r019,"All broad fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All broad fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,16435,67.6,12579,64.5,3856,77.7,143,57.3,197,53.8
10739,r020,All broad fields -> Engineering -> Mechanical engineering,All broad fields,Engineering,Mechanical engineering,3,27552,70.2,16029,68.7,11523,72.3,1189,61.3,527,82.5
10739,r021,"All broad fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All broad fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,7118,77.2,2545,76.1,4573,77.8,542,66.4,280,89.6
10739,r022,All broad fields -> Engineering -> Other engineering,All broad fields,Engineering,Other engineering,3,21481,74.0,13479,75.5,8002,71.5,1203,67.1,897,82.3
10739,r023,All broad fields -> Health,All broad fields,Health,,2,84368,68.5,66308,68.0,18060,70.5,17742,44.1,8501,64.0
10739,r024,All broad fields -> Health -> Clinical medicine<sup>a</sup>,All broad fields,Health,Clinical medicine<sup>a</sup>,3,39217,63.1,33251,62.3,5966,67.6,15630,39.5,7351,61.1
10739,r025,All broad fields -> Health -> Other health,All broad fields,Health,Other health,3,45151,73.2,33057,73.7,12094,71.9,2112,78.2,1150,82.7
