table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
12637,r001,All types of R&D,All types of R&D,,1,108681008,87627,0.1,59603993,47204,0.1
12637,r002,All types of R&D -> Basic research,All types of R&D,Basic research,2,68468210,8678354,12.7,38129644,5819568,15.3
12637,r003,All types of R&D -> Applied research,All types of R&D,Applied research,2,29595527,4058929,13.7,16372525,2357752,14.4
12637,r004,All types of R&D -> Experimental development,All types of R&D,Experimental development,2,10617271,1366491,12.9,5101824,725828,14.2
