table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7951,r001,All R&D fields,All R&D fields,,,,1,61286610,65274393,65729007,67013138,67199090,68549882,71767849,75147113,79023156,83487471,86300399,89723447
7951,r002,All R&D fields -> Science,All R&D fields,Science,,,2,49061829,51955427,51914870,52620113,52789968,53865380,56261425,58935314,62017677,65418542,67569466,70316530
7951,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1638047,1742486,1822321,2068498,1929144,1963355,2079944,2192346,2397731,2637354,2925725,2951923
7951,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2991741,3153174,3173011,3195505,3227991,3247463,3083754,3147878,3159553,3185958,3281457,3295883
7951,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,429354,481275,476729,493460,501633,573913,626676,623504,608041,590385,612784,624579
7951,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1083969,1142630,1168945,1163847,1159446,1113727,998082,1084087,1131923,1121300,1159846,1242339
7951,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1021857,1049630,1025472,1051418,1071371,1050143,1097963,1098634,1061402,1100768,1136023,1035519
7951,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,456561,479639,501865,486780,495541,509680,361033,341653,358187,373505,372804,393446
7951,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,34984249,37337522,37200171,37564440,37959147,38773693,40869476,43099078,45606786,48228599,49622337,52364596
7951,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3011150,3116840,3300098,3352448,3392383,3482285,3294486,3274597,3307251,3426773,3625448,3548896
7951,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,10946456,11855468,11611632,11681013,11706842,11705091,13030223,13723239,14517040,15390830,15764528,16557201
7951,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,19268085,20398377,20330413,20453934,20709435,21298977,22388131,23990797,25774623,27267137,28001450,29884728
