table_id,row_id,time_period,sbir_level_1,sbir_level_2,sbir_level_3,sbir_hierarchy_depth,value
1897,r001,1983,SBIR,Number of awards,Total,3,785
1897,r002,1983,SBIR,Funding ($ millions),Total,3,37.9
1897,r003,1983,STTR,Number of awards,Total,3,na
1897,r004,1983,STTR,Funding ($ millions),Total,3,na
1897,r005,1985,SBIR,Number of awards,Total,3,1821
1897,r006,1985,SBIR,Funding ($ millions),Total,3,192.4
1897,r007,1985,STTR,Number of awards,Total,3,na
1897,r008,1985,STTR,Funding ($ millions),Total,3,na
1897,r009,1990,SBIR,Number of awards,Total,3,3189
1897,r010,1990,SBIR,Funding ($ millions),Total,3,447.6
1897,r011,1990,STTR,Number of awards,Total,3,na
1897,r012,1990,STTR,Funding ($ millions),Total,3,na
1897,r013,1995,SBIR,Number of awards,Total,3,4321
1897,r014,1995,SBIR,Funding ($ millions),Total,3,948.0
1897,r015,1995,STTR,Number of awards,Total,3,1
1897,r016,1995,STTR,Funding ($ millions),Total,3,0.1
1897,r017,2000,SBIR,Number of awards,Total,3,5217
1897,r018,2000,SBIR,Funding ($ millions),Total,3,1047.0
1897,r019,2000,STTR,Number of awards,Total,3,404
1897,r020,2000,STTR,Funding ($ millions),Total,3,63.2
1897,r021,2005,SBIR,Number of awards,Total,3,6325
1897,r022,2005,SBIR,Funding ($ millions),Total,3,1862.5
1897,r023,2005,STTR,Number of awards,Total,3,825
1897,r024,2005,STTR,Funding ($ millions),Total,3,236.6
1897,r025,2010,SBIR,Number of awards,Total,3,6306
1897,r026,2010,SBIR,Funding ($ millions),Total,3,2304.9
1897,r027,2010,STTR,Number of awards,Total,3,903
1897,r028,2010,STTR,Funding ($ millions),Total,3,298.7
1897,r029,2011,SBIR,Number of awards,Total,3,5498
1897,r030,2011,SBIR,Funding ($ millions),Total,3,2134.9
1897,r031,2011,STTR,Number of awards,Total,3,709
1897,r032,2011,STTR,Funding ($ millions),Total,3,266.8
1897,r033,2012,SBIR,Number of awards,Total,3,5003
1897,r034,2012,SBIR,Funding ($ millions),Total,3,2047.7
1897,r035,2012,STTR,Number of awards,Total,3,637
1897,r036,2012,STTR,Funding ($ millions),Total,3,222.5
1897,r037,2013,SBIR,Number of awards,Total,3,4486
1897,r038,2013,SBIR,Funding ($ millions),Total,3,1932.4
1897,r039,2013,STTR,Number of awards,Total,3,643
1897,r040,2013,STTR,Funding ($ millions),Total,3,225.5
1897,r041,2014,SBIR,Number of awards,Total,3,4570
1897,r042,2014,SBIR,Funding ($ millions),Total,3,2050.9
1897,r043,2014,STTR,Number of awards,Total,3,703
1897,r044,2014,STTR,Funding ($ millions),Total,3,290.2
1897,r045,2015,SBIR,Number of awards,Total,3,4455
1897,r046,2015,SBIR,Funding ($ millions),Total,3,2210.1
1897,r047,2015,STTR,Number of awards,Total,3,722
1897,r048,2015,STTR,Funding ($ millions),Total,3,285.2
1897,r049,2016,SBIR,Number of awards,Total,3,4610
1897,r050,2016,SBIR,Funding ($ millions),Total,3,2310.7
1897,r051,2016,STTR,Number of awards,Total,3,800
1897,r052,2016,STTR,Funding ($ millions),Total,3,311.5
1897,r053,2017,SBIR,Number of awards,Total,3,5152
1897,r054,2017,SBIR,Funding ($ millions),Total,3,2623.4
1897,r055,2017,STTR,Number of awards,Total,3,847
1897,r056,2017,STTR,Funding ($ millions),Total,3,317.1
1897,r057,2018,SBIR,Number of awards,Total,3,4817
1897,r058,2018,SBIR,Funding ($ millions),Total,3,2727.1
1897,r059,2018,STTR,Number of awards,Total,3,793
1897,r060,2018,STTR,Funding ($ millions),Total,3,382.8
