table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
771,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['635', '&nbsp;']","['464', '&nbsp;']","['28', 'i']","['107', '&nbsp;']","['64', '&nbsp;']"
771,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['392', '&nbsp;']","['298', '&nbsp;']","['19', 'i']","['53', '&nbsp;']","['40', '&nbsp;']"
771,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['15', '&nbsp;']","['10', 'i']","['*', 'i']","['3', 'i']","['2', 'i']"
771,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['3', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
771,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['2', '&nbsp;']","['1', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
771,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
771,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['64', '&nbsp;']","['37', '&nbsp;']","['7', '&nbsp;']","['10', '&nbsp;']","['16', '&nbsp;']"
771,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['6', '&nbsp;']","['3', '&nbsp;']","['1', 'i']","['2', '&nbsp;']","['1', '&nbsp;']"
771,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['4', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
771,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['5', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
771,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['41', '&nbsp;']","['24', '&nbsp;']","['5', 'i']","['4', '&nbsp;']","['13', '&nbsp;']"
771,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['6', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
771,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3', '&nbsp;']","['2', 'i']","['*', 'i']","['1', 'i']","['1', 'i']"
771,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1', '&nbsp;']","['*', 'i']","['*', 'i']","['1', '&nbsp;']","['*', 'i']"
771,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['31', '&nbsp;']","['25', '&nbsp;']","['1', 'i']","['5', '&nbsp;']","['2', '&nbsp;']"
771,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['5', '&nbsp;']","['4', 'i']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
771,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['5', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['18', '&nbsp;']","['13', '&nbsp;']","['1', 'i']","['3', '&nbsp;']","['1', '&nbsp;']"
771,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['152', '&nbsp;']","['126', '&nbsp;']","['5', 'i']","['14', 'i']","['12', 'i']"
771,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['32', '&nbsp;']","['28', '&nbsp;']","['*', '&nbsp;']","['2', 'i']","['2', '&nbsp;']"
771,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['60', '&nbsp;']","['54', '&nbsp;']","['2', 'i']","['3', '&nbsp;']","['3', '&nbsp;']"
771,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['26', '&nbsp;']","['19', 'i']","['1', 'i']","['5', 'i']","['2', 'i']"
771,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['6', '&nbsp;']","['4', 'i']","['1', 'i']","['2', 'i']","['1', 'i']"
771,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['4', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['16', '&nbsp;']","['12', 'i']","['*', 'i']","['2', 'i']","['1', 'i']"
771,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['34', '&nbsp;']","['26', 'i']","['1', 'i']","['3', 'i']","['5', 'i']"
771,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['24', '&nbsp;']","['21', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
771,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['70', '&nbsp;']","['56', '&nbsp;']","['2', '&nbsp;']","['12', '&nbsp;']","['3', '&nbsp;']"
771,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['46', '&nbsp;']","['37', '&nbsp;']","['1', 'i']","['7', '&nbsp;']","['2', '&nbsp;']"
771,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['23', '&nbsp;']","['17', '&nbsp;']","['1', '&nbsp;']","['5', '&nbsp;']","['1', 'i']"
771,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['23', '&nbsp;']","['17', '&nbsp;']","['1', '&nbsp;']","['5', '&nbsp;']","['1', 'i']"
771,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']"
771,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
771,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1', 'i']","['1', 'i']","['0', '&nbsp;']","['*', 'i']","['*', 'i']"
771,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
771,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['21', '&nbsp;']","['15', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']"
771,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['15', '&nbsp;']","['11', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']"
771,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['6', '&nbsp;']","['5', 'i']","['*', 'i']","['1', '&nbsp;']","['*', '&nbsp;']"
771,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['243', '&nbsp;']","['166', '&nbsp;']","['9', '&nbsp;']","['53', '&nbsp;']","['24', '&nbsp;']"
771,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']"
