table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_organizations,field_organizations_with_r_d_activity,field_organizations_without_r_d_activity
8049,r001,All organizations ,All organizations ,,1,"['47,726', '&nbsp;']","['2,853', '&nbsp;']","['44,873', '&nbsp;']"
8049,r002,All organizations  -> Healthcare ,All organizations ,Healthcare ,2,"['24,596', '&nbsp;']","['627', '&nbsp;']","['23,970', '&nbsp;']"
8049,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['634', '&nbsp;']","['528', '&nbsp;']","['107', '&nbsp;']"
8049,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['22,496', '&nbsp;']","['1,701', '&nbsp;']","['20,796', '&nbsp;']"
