table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1327,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2533,2582,1876,1.9,-27.3
1327,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,2,431,425,355,-1.4,-16.5
1327,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior<sup>c</sup>,R&D and R&D plant,Conservation and land management (302),Department of the Interior<sup>c</sup>,,,3,149,144,120,-3.4,-16.7
1327,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,3,282,281,235,-0.4,-16.4
1327,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,4,282,281,235,-0.4,-16.4
1327,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,2,500,497,277,-0.7,-44.3
1327,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,3,498,495,275,-0.7,-44.5
1327,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,4,1,1,1,0.0,-20.0
1327,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,4,482,479,256,-0.7,-46.4
1327,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,4,15,15,17,-0.6,13.1
1327,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,Pollution control and abatement (304),Coast Guard (DHS),,,3,2,2,2,0.0,0.0
1327,r012,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,2,27,26,24,-3.7,-7.7
1327,r013,R&D and R&D plant -> Recreational resources (303) -> National Park Service (DOI)<sup>d</sup>,R&D and R&D plant,Recreational resources (303),National Park Service (DOI)<sup>d</sup>,,,3,27,26,24,-3.7,-7.7
1327,r014,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,2,81,113,94,39.5,-16.8
1327,r015,R&D and R&D plant -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,Water resources (301),Army Corps of Engineers (DOD),,,3,9,9,11,0.0,22.2
1327,r016,R&D and R&D plant -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,Water resources (301),Bureau of Reclamation (DOI),,,3,72,104,83,44.4,-20.2
