table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
6083,r001,All graduate students,All graduate students,,,,1,76218,8635,11.3,5344,7.0,21708,28.5,2761,3.6,2096,2.8,22413,29.4,2689,3.5,10572,13.9
6083,r002,All graduate students -> Science,All graduate students,Science,,,2,48717,3614,7.4,2699,5.5,17092,35.1,1701,3.5,1251,2.6,13676,28.1,2340,4.8,6344,13.0
6083,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,1437,12,0.8,17,1.2,126,8.8,82,5.7,3,0.2,127,8.8,905,63.0,165,11.5
6083,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,19427,398,2.0,155,0.8,13399,69.0,955,4.9,66,0.3,2573,13.2,686,3.5,1195,6.2
6083,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,5589,1321,23.6,99,1.8,335,6.0,74,1.3,43,0.8,2867,51.3,41,0.7,809,14.5
6083,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2528,143,5.7,105,4.2,27,1.1,11,0.4,421,16.7,1218,48.2,32,1.3,571,22.6
6083,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,1585,153,9.7,48,3.0,188,11.9,25,1.6,12,0.8,983,62.0,14,0.9,162,10.2
6083,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,548,71,13.0,33,6.0,119,21.7,8,1.5,8,1.5,164,29.9,38,6.9,107,19.5
6083,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,1315,34,2.6,39,3.0,55,4.2,64,4.9,45,3.4,287,21.8,346,26.3,445,33.8
6083,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,10792,811,7.5,2185,20.2,1817,16.8,223,2.1,624,5.8,4317,40.0,33,0.3,782,7.2
6083,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,2716,162,6.0,5,0.2,828,30.5,201,7.4,0,0.0,432,15.9,15,0.6,1073,39.5
