table_id,row_id,occupation_ethnicity_and_race_full_path,occupation_ethnicity_and_race_level_1,occupation_ethnicity_and_race_level_2,occupation_ethnicity_and_race_level_3,occupation_ethnicity_and_race_level_4,occupation_ethnicity_and_race_level_5,occupation_ethnicity_and_race_level_6,occupation_ethnicity_and_race_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1239,r001,All occupations,All occupations,,,,,,1,145362,139877,139062,139869,142469,143929,146305,148834,151436,153337
1239,r002,"All occupations -> Management, professional, and related occupations",All occupations,"Management, professional, and related occupations",,,,,2,52634,52047,51721,52217,53831,54738,55829,58002,59293,60719
1239,r003,"All occupations -> Management, professional, and related occupations -> Management, business, and financial operations occupations",All occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",,,,3,21924,21581,20938,21175,22400,22626,22843,23827,24535,24943
1239,r004,"All occupations -> Management, professional, and related occupations -> Professional and related occupations",All occupations,"Management, professional, and related occupations",Professional and related occupations,,,,3,30710,30466,30783,31042,31431,32112,32986,34174,34758,35776
1239,r005,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Architect",All occupations,"Management, professional, and related occupations",Professional and related occupations,Architect,,,4,225,208,188,176,194,185,188,191,237,268
1239,r006,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Biological or life scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Biological or life scientist,,,4,299,331,307,339,304,330,306,301,304,332
1239,r007,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Chemist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Chemist,,,4,108,117,106,87,102,113,105,97,96,101
1239,r008,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Dietitian",All occupations,"Management, professional, and related occupations",Professional and related occupations,Dietitian,,,4,107,98,110,104,109,107,117,119,118,117
1239,r009,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Economist and market and survey researcher",All occupations,"Management, professional, and related occupations",Professional and related occupations,Economist and market and survey researcher,,,4,159,155,180,221,241,264,318,291,336,361
1239,r010,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineer",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineer,,,4,1975,1840,1818,1977,1995,2018,1996,2075,2243,2336
1239,r011,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineering and related technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineering and related technologist or technician,,,4,690,584,580,586,614,567,555,590,575,574
1239,r012,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Health technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Health technologist or technician,,,4,2295,2471,2509,2505,2416,2551,2693,2844,2854,2860
1239,r013,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Lawyer or judge",All occupations,"Management, professional, and related occupations",Professional and related occupations,Lawyer or judge,,,4,1058,1103,1104,1177,1134,1155,1171,1228,1183,1222
1239,r014,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Mathematical or computer scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Mathematical or computer scientist,,,4,3681,3489,3549,3589,3760,3963,4253,4383,4510,4773
1239,r015,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Pharmacist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Pharmacist,,,4,254,269,260,262,285,282,284,271,310,344
1239,r016,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physician,,,4,863,909,877,828,919,925,1013,1009,1067,1070
1239,r017,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physicians' assistant",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physicians' assistant,,,4,107,88,105,95,106,128,91,79,87,112
1239,r018,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Psychologist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Psychologist,,,4,173,166,186,192,175,187,219,205,175,185
