table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1314,r001,All functions conducting R&D,All functions conducting R&D,,1,34061,34393,30040,1.0,-12.7
1314,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2304,2336,2380,1.4,1.9
1314,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,16701,16859,12114,0.9,-28.1
1314,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,9168,9277,9220,1.2,-0.6
1314,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,3606,3713,4300,3.0,15.8
1314,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,21,34,33,63.1,-1.7
1314,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,268,240,190,-10.6,-20.9
1314,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,903,853,772,-5.5,-9.5
1314,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,0,0,0,--,--
1314,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,538,538,540,0.0,0.4
1314,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,234,232,197,-0.7,-15.4
1314,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,59,63,41,6.8,-34.9
1314,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,258,248,253,-3.9,2.0
1314,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0,0,0,--,--
1314,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,--,--
1314,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0,0,0,--,--
1314,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,--,--
