table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_5_9a,field_company_size_domestic_employees_10_19,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
1392,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['317,731', '  ']","['1,044', 'i ']","['3,887', 'i ']","['7,473', 'i ']","['7,728', '  ']","['11,722', '  ']","['11,438', '  ']","['13,525', '  ']","['53,305', '  ']","['35,887', '  ']","['53,384', '  ']","['118,339', ' ']"
1392,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['211,660', '  ']","['389', 'i ']","['2,014', 'i ']","['3,529', '  ']","['4,829', '  ']","['7,877', '  ']","['6,903', '  ']","['9,053', '  ']","['38,100', '  ']","['20,236', '  ']","['45,978', '  ']","['72,752', ' ']"
1392,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,611', '  ']","['5', 'i ']","['6', 'i ']","['27', 'i ']","['58', 'i ']","['199', 'i ']","['147', '  ']","['94', '  ']","['588', '  ']","['202', '  ']","['2,456', '  ']","['829', 'i']"
1392,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['987', '  ']","['0', '  ']","['0', '  ']","['18', 'i ']","['3', 'i ']","['17', 'i ']","['5', '  ']","['22', '  ']","['24', '  ']","['197', '  ']","['24', '  ']","['676', ' ']"
1392,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1,156', 'i ']","['0', '  ']","['1', 'i ']","['18', 'i ']","['23', 'i ']","['337', 'i ']","['24', '  ']","['14', 'i ']","['254', '  ']","['274', '  ']","['104', '  ']","['106', ' ']"
1392,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['181', '  ']","['0', '  ']","['9', 'i ']","['4', 'i ']","['5', 'i ']","['11', 'i ']","['7', 'i ']","['24', '  ']","['52', '  ']","['46', '  ']","['24', '  ']","['0', ' ']"
1392,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['851', '  ']","['0', '  ']","['4', 'i ']","['6', 'i ']","['14', 'i ']","['29', 'i ']","['23', '  ']","['21', '  ']","['151', '  ']","['163', '  ']","['418', '  ']","['22', ' ']"
1392,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['219', 'i ']","['2', 'i ']","['1', 'i ']","['22', 'i ']","['20', 'i ']","['49', '  ']","['12', 'i ']","['23', '  ']","['57', 'i ']","['17', '  ']","['7', '  ']","['8', ' ']"
1392,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['367', '  ']","['D', '&nbsp;']","['2', 'i ']","['20', 'i ']","['14', '  ']","['115', '  ']","['23', '  ']","['45', '  ']","['D', '  ']","['0', '  ']","['124', '  ']","['0', ' ']"
1392,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['64,165', '  ']","['193', '  ']","['1,059', '  ']","['1,619', '  ']","['2,225', '  ']","['3,280', '  ']","['2,789', '  ']","['1,875', '  ']","['11,286', '  ']","['5,534', '  ']","['19,930', '  ']","['14,375', ' ']"
1392,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,284', '  ']","['0', '  ']","['11', 'i ']","['52', '  ']","['97', '  ']","['118', '  ']","['124', '  ']","['100', '  ']","['913', '  ']","['465', '  ']","['405', '  ']","['0', ' ']"
1392,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['693', '  ']","['2', 'i ']","['D', '&nbsp;']","['20', 'i ']","['27', 'i ']","['27', '  ']","['65', '  ']","['62', '  ']","['175', 'i ']","['0', '  ']","['D', '  ']","['0', ' ']"
1392,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['1,061', 'i ']","['0', '  ']","['D', '&nbsp;']","['D', '  ']","['31', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['152', '  ']","['*', '  ']","['D', '&nbsp;']","['0', ' ']"
1392,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['55,983', '  ']","['185', '  ']","['993', '  ']","['1,396', '  ']","['1,932', '  ']","['2,935', '  ']","['2,486', '  ']","['1,579', '  ']","['9,053', '  ']","['4,423', '  ']","['16,844', '  ']","['14,159', ' ']"
1392,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['2,660', '  ']","['3', 'i ']","['16', 'i ']","['24', 'i ']","['55', 'i ']","['106', 'i ']","['19', '  ']","['103', '  ']","['400', '  ']","['397', 'i ']","['1,385', '  ']","['150', 'i']"
1392,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['1,484', '  ']","['3', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['82', 'i ']","['D', '  ']","['D', '  ']","['33', '  ']","['593', '  ']","['250', '  ']","['D', '  ']","['65', ' ']"
1392,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,584', '  ']","['3', 'i ']","['10', 'i ']","['92', 'i ']","['99', 'i ']","['178', 'i ']","['173', '  ']","['161', '  ']","['825', '  ']","['468', '  ']","['1,418', '  ']","['155', ' ']"
1392,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,274', '  ']","['1', 'i ']","['2', 'i ']","['18', 'i ']","['26', '  ']","['42', 'i ']","['10', '  ']","['70', '  ']","['119', '  ']","['116', '  ']","['870', '  ']","['0', ' ']"
1392,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['583', '  ']","['3', 'i ']","['17', 'i ']","['16', 'i ']","['68', '  ']","['44', 'i ']","['35', '  ']","['35', '  ']","['185', '  ']","['42', '  ']","['137', 'i ']","['0', ' ']"
1392,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,127', '  ']","['21', 'i ']","['89', 'i ']","['178', 'i ']","['209', 'i ']","['394', '  ']","['190', '  ']","['291', '  ']","['300', '  ']","['237', '  ']","['218', '  ']","['0', ' ']"
1392,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['11,699', '  ']","['9', 'i ']","['143', 'i ']","['301', 'i ']","['394', 'i ']","['650', '  ']","['426', '  ']","['593', '  ']","['3,462', '  ']","['1,724', '  ']","['973', '  ']","['3,025', ' ']"
1392,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['1,552', '  ']","['1', 'i ']","['6', '  ']","['16', 'i ']","['13', '  ']","['42', '  ']","['13', '  ']","['62', '  ']","['311', '  ']","['9', '  ']","['0', '  ']","['1,079', ' ']"
1392,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,028', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['D', '  ']","['78', '  ']","['D', '  ']","['175', '  ']","['1,462', '  ']","['D', '  ']","['0', '  ']","['0', ' ']"
1392,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['1,901', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['32', '  ']","['78', '  ']","['D', '  ']","['39', '  ']","['D', '  ']","['0', '  ']","['D', ' ']"
1392,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['5,218', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['499', 'i ']","['D', '  ']","['D', '  ']","['1,649', '  ']","['D', '  ']","['973', '  ']","['D', ' ']"
1392,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['68,515', '  ']","['64', 'i ']","['364', 'i ']","['640', 'i ']","['738', '  ']","['1,244', '  ']","['1,793', '  ']","['3,373', '  ']","['13,673', '  ']","['6,597', '  ']","['10,598', '  ']","['29,430', ' ']"
1392,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['11,293', '  ']","['6', 'i ']","['73', 'i ']","['D', '&nbsp;']","['119', '  ']","['257', '  ']","['294', '  ']","['1,066', '  ']","['2,519', '  ']","['1,397', '  ']","['D', '&nbsp;']","['D', ' ']"
1392,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['29,176', '  ']","['13', 'i ']","['61', 'i ']","['215', '  ']","['263', '  ']","['426', '  ']","['1,047', '  ']","['986', '  ']","['6,068', 'i ']","['2,442', 'i ']","['7,663', '  ']","['9,993', ' ']"
1392,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,131', '  ']","['40', 'i ']","['214', 'i ']","['273', 'i ']","['282', '  ']","['421', '  ']","['316', '  ']","['595', '  ']","['3,337', '  ']","['308', '  ']","['1,969', '  ']","['2,376', ' ']"
1392,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['2,466', '  ']","['D', '  ']","['155', 'i ']","['44', 'i ']","['54', '  ']","['174', '  ']","['112', '  ']","['283', '  ']","['967', '  ']","['D', '  ']","['499', '  ']","['0', ' ']"
1392,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['3,121', '  ']","['1', '  ']","['5', 'i ']","['45', 'i ']","['26', '  ']","['74', '  ']","['28', '  ']","['30', '  ']","['483', '  ']","['D', '  ']","['D', '  ']","['D', ' ']"
1392,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['4,544', '  ']","['D', '&nbsp;']","['54', 'i ']","['184', 'i ']","['202', '  ']","['173', '  ']","['176', '  ']","['282', '  ']","['1,887', '  ']","['D', '  ']","['D', '  ']","['D', ' ']"
1392,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['17,914', '  ']","['6', 'i ']","['16', '  ']","['D', '&nbsp;']","['74', '  ']","['141', '  ']","['136', 'i ']","['726', '  ']","['1,750', '  ']","['2,449', '  ']","['D', '  ']","['D', ' ']"
1392,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,302', '  ']","['6', 'i ']","['33', 'i ']","['154', '  ']","['153', '  ']","['260', '  ']","['204', '  ']","['627', '  ']","['1,053', '  ']","['582', '  ']","['851', '  ']","['378', ' ']"
1392,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['32,905', '  ']","['1', 'i ']","['95', '  ']","['52', '  ']","['165', '  ']","['330', '  ']","['628', '  ']","['1,114', '  ']","['2,840', '  ']","['2,115', '  ']","['4,578', '  ']","['20,986', ' ']"
1392,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['19,293', '  ']","['0', '  ']","['74', '  ']","['D', '&nbsp;']","['98', '  ']","['215', '  ']","['549', '  ']","['878', 'i ']","['1,830', '  ']","['1,246', '  ']","['2,290', '  ']","['D', ' ']"
1392,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['12,272', '  ']","['0', '  ']","['D', '  ']","['17', '  ']","['53', '  ']","['61', '  ']","['40', '  ']","['159', '  ']","['653', '  ']","['D', '  ']","['2,118', '  ']","['8,489', ' ']"
1392,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['11,930', '  ']","['0', '  ']","['13', '  ']","['13', '  ']","['52', '  ']","['61', '  ']","['40', '  ']","['136', '  ']","['546', '  ']","['598', '  ']","['1,981', '  ']","['8,489', ' ']"
1392,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['342', '  ']","['0', '  ']","['D', '  ']","['4', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['23', '  ']","['107', '  ']","['D', '&nbsp;']","['137', '  ']","['0', ' ']"
1392,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['3', '  ']","['*', 'i ']","['*', '  ']","['*', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1392,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,337', '  ']","['1', 'i ']","['D', '  ']","['D', '&nbsp;']","['12', 'i ']","['53', '  ']","['39', '  ']","['78', '  ']","['357', '  ']","['D', '  ']","['171', '  ']","['D', '&nbsp;']"
1392,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['366', '  ']","['0', '  ']","['3', 'i ']","['18', 'i ']","['12', 'i ']","['40', 'i ']","['38', 'i ']","['7', 'i ']","['58', '  ']","['176', '  ']","['14', '  ']","['0', ' ']"
1392,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['13,768', '  ']","['D', '&nbsp;']","['175', 'i ']","['325', '  ']","['602', '  ']","['656', '  ']","['375', '  ']","['661', '  ']","['D', '  ']","['1,745', 'i ']","['3,235', '  ']","['2,763', ' ']"
1392,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['11,474', '  ']","['29', '  ']","['163', 'i ']","['297', '  ']","['519', '  ']","['483', '  ']","['277', '  ']","['471', '  ']","['2,316', '  ']","['1,129', '  ']","['3,235', '  ']","['2,555', ' ']"
1392,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['2,294', 'i ']","['D', '&nbsp;']","['12', 'i ']","['28', 'i ']","['83', 'i ']","['173', 'i ']","['98', '  ']","['191', '  ']","['D', '  ']","['615', 'i ']","['0', '  ']","['208', 'i']"
1392,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['106,071', '  ']","['655', 'i ']","['1,873', 'i ']","['3,944', 'i ']","['2,899', '  ']","['3,845', '  ']","['4,534', '  ']","['4,472', '  ']","['15,205', '  ']","['15,651', 'i ']","['7,407', '  ']","['45,587', ' ']"
1392,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['2,897', '  ']","['1', 'i ']","['2', '  ']","['14', '  ']","['5', 'i ']","['7', 'i ']","['14', '  ']","['10', '  ']","['65', '  ']","['258', 'i ']","['1,132', '  ']","['1,389', ' ']"
1392,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['325', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['3', '  ']","['38', '  ']","['11', '  ']","['225', '  ']","['D', ' ']"
