table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10838,r001,All agencies,All agencies,,,,,1,6173332,1095957,3436961,1020424,462769,148648,7707,866
10838,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10838,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,179440,179440,0,0,0,0,0,0
10838,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,170061,170061,0,0,0,0,0,0
10838,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,9379,9379,0,0,0,0,0,0
10838,r006,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,379425,379425,0,0,0,0,0,0
10838,r007,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,96158,96158,0,0,0,0,0,0
10838,r008,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,281767,281767,0,0,0,0,0,0
10838,r009,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,1500,1500,0,0,0,0,0,0
10838,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,255660,178926,50538,26195,0,0,0,0
10838,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,130765,120759,0,10006,0,0,0,0
10838,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,62776,49862,0,12914,0,0,0,0
10838,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,62118,8305,50538,3275,0,0,0,0
10838,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,4279970,75119,3368327,829679,66,0,6779,0
10838,r015,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,48601,0,48601,0,0,0,0,0
10838,r016,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,29000,29000,0,0,0,0,0,0
10838,r017,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,1207904,36782,351146,819914,61,0,0,0
10838,r018,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,618449,36782,336211,245394,61,0,0,0
10838,r019,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,574520,0,0,574520,0,0,0,0
10838,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,14935,0,14935,0,0,0,0,0
10838,r021,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,372184,1973,367962,765,5,0,1479,0
10838,r022,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,2622282,7364,2600618,9000,0,0,5300,0
10838,r023,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,291447,127510,0,93,157980,5863,0,0
10838,r024,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,1031,938,0,93,0,0,0,0
10838,r025,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,10415,10415,0,0,0,0,0,0
10838,r026,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,280000,116157,0,0,157980,5863,0,0
10838,r027,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,10818,0,10096,137,0,0,0,586
10838,r028,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,10818,0,10096,137,0,0,0,586
10838,r029,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,6872,1780,0,5092,0,0,0,0
10838,r030,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,1650,800,0,850,0,0,0,0
10838,r031,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,5222,980,0,4242,0,0,0,0
10838,r032,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,37918,1019,0,35402,831,546,0,120
10838,r033,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,33387,11,0,33257,0,0,0,120
10838,r034,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,4031,1009,0,1646,831,546,0,0
10838,r035,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,500,0,0,500,0,0,0,0
10838,r036,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,
10838,r037,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,5800,0,0,5800,0,0,0,0
10838,r038,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,126953,0,8000,118026,0,0,928,0
10838,r039,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,529429,83136,0.05,0,303892,142240,0,161
10838,r040,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,69600,69600,0,0,0,0,0,0
