table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2020_atmospheric_science_and_meteorology,field_2020_geological_and_earth_sciences,field_2020_ocean_sciences_and_marine_sciences,field_2020_geosciences_atmospheric_sciences_and_ocean_sciences_nec
5421,r001,All institutions,All institutions,,1,-,"['3,147,841', '']","['3,159,520', '']","['3,185,923', '']","['3,281,251', '']","['612,890', '']","['1,159,627', '']","['1,136,259', '']","['372,475', '']"
5421,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['186,827', '']","['159,294', '']","['180,626', '']","['201,331', '']","['33,205', '']","['36,871', '']","['131,255', '']","['0', '']"
5421,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['132,686', '']","['143,179', '']","['145,169', '']","['143,240', '']","['0', '']","['0', '']","['143,240', '']","['0', '']"
5421,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['118,763', '']","['122,167', '']","['123,301', '']","['135,307', '']","['50,737', '']","['15,129', '']","['65,008', '']","['4,433', '']"
5421,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,"['128,164', '']","['136,586', '']","['121,624', '']","['119,824', '']","['32,942', '']","['13,006', '']","['2,017', '']","['71,859', '']"
5421,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['115,183', '']","['115,394', '']","['113,459', '']","['107,894', '']","['5,637', '']","['14,392', '']","['79,758', '']","['8,107', '']"
5421,r007,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,6,"['47,554', '']","['63,159', '']","['71,836', '']","['84,812', '']","['75,531', '']","['9,281', '']","['0', '']","['0', '']"
5421,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['84,745', '']","['80,240', '']","['75,900', '']","['78,288', '']","['9,965', '']","['29,922', '']","['38,401', '']","['0', '']"
5421,r009,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,8,"['53,751', '']","['82,299', '']","['83,703', '']","['73,544', '']","['0', '']","['73,544', '']","['0', '']","['0', '']"
5421,r010,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,9,"['67,711', '']","['65,850', '']","['69,346', '']","['72,609', '']","['7,277', '']","['34,852', '']","['24,396', '']","['6,084', '']"
5421,r011,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,10,"['90,909', '']","['78,170', '']","['82,955', '']","['71,468', '']","['3,840', '']","['16,072', '']","['49,627', '']","['1,929', '']"
5421,r012,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,11,"['122,150', '']","['116,804', '']","['85,500', '']","['67,642', '']","['43,063', '']","['22,187', '']","['3', '']","['2,389', '']"
