table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
8000,r001,United States,United States,,1,89723447,49143460,4736015,22448362,5115480,5590273,2689857
8000,r002,United States -> Alabama,United States,Alabama,2,1272489,734518,63697,351639,75518,35577,11540
8000,r003,United States -> Alaska,United States,Alaska,2,196501,144543,3617,40547,3703,2185,1906
8000,r004,United States -> Arizona,United States,Arizona,2,1516463,669402,82173,507616,49020,89289,118963
8000,r005,United States -> Arkansas,United States,Arkansas,2,387674,148709,81283,119966,20542,11316,5858
8000,r006,United States -> California,United States,California,2,11229857,5770381,435763,2371758,732081,1171672,748202
8000,r007,United States -> Colorado,United States,Colorado,2,1746975,1269099,65611,193624,82884,89451,46306
8000,r008,United States -> Connecticut,United States,Connecticut,2,1494357,841978,10040,434302,87096,107751,13190
8000,r009,United States -> Delaware,United States,Delaware,2,254725,174185,12767,51348,6221,4188,6016
8000,r010,United States -> District of Columbia,United States,District of Columbia,2,717928,375192,6985,177678,25301,95094,37678
8000,r011,United States -> Florida,United States,Florida,2,2769387,1333317,273283,894472,104512,104369,59434
8000,r012,United States -> Georgia,United States,Georgia,2,2949654,1783614,170835,718957,139083,121879,15286
8000,r013,United States -> Hawaii,United States,Hawaii,2,294913,178662,20848,79701,2826,11595,1281
8000,r014,United States -> Idaho,United States,Idaho,2,165913,89594,37775,31110,2757,1520,3157
8000,r015,United States -> Illinois,United States,Illinois,2,2914398,1797549,39911,707784,177929,155002,36223
8000,r016,United States -> Indiana,United States,Indiana,2,1699302,767854,44138,595282,110373,118866,62789
8000,r017,United States -> Iowa,United States,Iowa,2,931207,459107,40296,352448,45609,28862,4885
8000,r018,United States -> Kansas,United States,Kansas,2,785055,343696,83259,201262,121826,19949,15063
8000,r019,United States -> Kentucky,United States,Kentucky,2,655290,331080,45998,199017,18685,19409,41101
8000,r020,United States -> Louisiana,United States,Louisiana,2,830787,362723,91071,231144,92424,29624,23801
8000,r021,United States -> Maine,United States,Maine,2,165224,75798,20790,59785,3701,4095,1055
8000,r022,United States -> Maryland,United States,Maryland,2,4914256,3890484,88833,563641,136450,220952,13896
8000,r023,United States -> Massachusetts,United States,Massachusetts,2,4568999,2615651,48120,1005685,311606,424453,163484
8000,r024,United States -> Michigan,United States,Michigan,2,2842492,1467444,59206,1038947,119391,118335,39169
8000,r025,United States -> Minnesota,United States,Minnesota,2,1115363,581339,77012,330010,46934,47310,32758
8000,r026,United States -> Mississippi,United States,Mississippi,2,491172,261723,108616,100139,7300,11316,2078
8000,r027,United States -> Missouri,United States,Missouri,2,1582870,882908,44450,407646,128426,106630,12810
8000,r028,United States -> Montana,United States,Montana,2,330081,190076,24303,102374,3087,6759,3482
8000,r029,United States -> Nebraska,United States,Nebraska,2,575986,262730,74774,161841,30895,21495,24251
8000,r030,United States -> Nevada,United States,Nevada,2,308745,121118,10281,151928,4410,6275,14733
8000,r031,United States -> New Hampshire,United States,New Hampshire,2,498518,252552,8993,191319,12593,23171,9890
8000,r032,United States -> New Jersey,United States,New Jersey,2,1352770,701933,108029,295109,64849,120093,62757
8000,r033,United States -> New Mexico,United States,New Mexico,2,473020,332896,31084,77661,8051,16305,7023
8000,r034,United States -> New York,United States,New York,2,7577235,4065091,425225,1744191,498361,541516,302851
8000,r035,United States -> North Carolina,United States,North Carolina,2,3503943,2088400,175440,674614,310840,208306,46343
8000,r036,United States -> North Dakota,United States,North Dakota,2,307556,101287,78537,110245,9702,1276,6509
8000,r037,United States -> Ohio,United States,Ohio,2,2787835,1594939,70829,765814,192581,121836,41836
8000,r038,United States -> Oklahoma,United States,Oklahoma,2,622581,255119,61088,252029,37287,12875,4183
8000,r039,United States -> Oregon,United States,Oregon,2,929355,626641,57459,129056,50292,48919,16988
8000,r040,United States -> Pennsylvania,United States,Pennsylvania,2,4934724,2794237,104849,1327092,341497,260399,106650
8000,r041,United States -> Rhode Island,United States,Rhode Island,2,425750,289959,13494,88443,7211,22147,4496
8000,r042,United States -> South Carolina,United States,South Carolina,2,753287,365603,37853,271701,41814,24457,11859
8000,r043,United States -> South Dakota,United States,South Dakota,2,100534,46598,19124,19958,2074,3368,9412
8000,r044,United States -> Tennessee,United States,Tennessee,2,1629860,863242,35425,567114,93741,55972,14366
8000,r045,United States -> Texas,United States,Texas,2,6849522,2872275,929845,1872830,478394,417527,278651
8000,r046,United States -> Utah,United States,Utah,2,993876,635448,28336,235145,49350,35671,9926
8000,r047,United States -> Vermont,United States,Vermont,2,198247,106193,727,74424,1989,9062,5852
8000,r048,United States -> Virginia,United States,Virginia,2,1942260,877464,130517,680754,83342,95144,75039
8000,r049,United States -> Washington,United States,Washington,2,1881044,1242894,72940,220094,64860,230176,50080
8000,r050,United States -> West Virginia,United States,West Virginia,2,231347,107198,12630,82686,4731,6863,17239
8000,r051,United States -> Wisconsin,United States,Wisconsin,2,1771499,830859,156597,529125,60477,147255,47186
8000,r052,United States -> Wyoming,United States,Wyoming,2,93202,54444,4681,26166,6088,1756,67
8000,r053,United States -> American Samoa,United States,American Samoa,2,815,815,0,0,0,0,0
8000,r054,United States -> Guam,United States,Guam,2,17666,14316,1705,1465,24,156,0
8000,r055,United States -> Puerto Rico,United States,Puerto Rico,2,123707,85484,3055,29659,4600,650,259
8000,r056,United States -> Virgin Islands,United States,Virgin Islands,2,15231,13099,1818,17,142,155,0
