table_id,row_id,field_and_enrollment_status_full_path,field_and_enrollment_status_level_1,field_and_enrollment_status_level_2,field_and_enrollment_status_level_3,field_and_enrollment_status_level_4,field_and_enrollment_status_level_5,field_and_enrollment_status_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1132,r001,S&E,S&E,,,,,1,620489,39578,1860,35674,30600,862,237563,10514,23098,240740
1132,r002,S&E -> Full time    ,S&E,Full time    ,,,,2,462973,25688,1220,24818,17180,552,161722,7392,14141,210260
1132,r003,S&E -> Part time           ,S&E,Part time           ,,,,2,157516,13890,640,10856,13420,310,75841,3122,8957,30480
1132,r004,S&E -> Science,S&E,Science,,,,2,452046,32616,1615,25772,26890,747,191941,8690,18439,145336
1132,r005,S&E -> Science -> Full time    ,S&E,Science,Full time    ,,,3,334770,21538,1079,18264,15065,486,133109,6147,11540,127542
1132,r006,S&E -> Science -> Part time           ,S&E,Science,Part time           ,,,3,117276,11078,536,7508,11825,261,58832,2543,6899,17794
1132,r007,S&E -> Science -> Agricultural sciences,S&E,Science,Agricultural sciences,,,3,18284,1132,119,450,563,23,10987,348,722,3940
1132,r008,S&E -> Science -> Agricultural sciences -> Full time    ,S&E,Science,Agricultural sciences,Full time    ,,4,12806,799,81,323,334,10,7108,238,444,3469
1132,r009,S&E -> Science -> Agricultural sciences -> Part time           ,S&E,Science,Agricultural sciences,Part time           ,,4,5478,333,38,127,229,13,3879,110,278,471
1132,r010,S&E -> Science -> Biological sciences,S&E,Science,Biological sciences,,,3,79146,5878,268,7081,4261,187,39535,1798,3067,17071
1132,r011,S&E -> Science -> Biological sciences -> Full time    ,S&E,Science,Biological sciences,Full time    ,,4,65549,4838,209,6009,3225,153,31637,1477,2334,15667
1132,r012,S&E -> Science -> Biological sciences -> Part time           ,S&E,Science,Biological sciences,Part time           ,,4,13597,1040,59,1072,1036,34,7898,321,733,1404
1132,r013,S&E -> Science -> Biological sciences -> Anatomy,S&E,Science,Biological sciences,Anatomy,,4,448,48,1,29,21,2,255,11,9,72
1132,r014,S&E -> Science -> Biological sciences -> Anatomy -> Full time    ,S&E,Science,Biological sciences,Anatomy,Full time    ,5,424,43,1,28,21,2,237,11,9,72
1132,r015,S&E -> Science -> Biological sciences -> Anatomy -> Part time           ,S&E,Science,Biological sciences,Anatomy,Part time           ,5,24,5,0,1,0,0,18,0,0,0
1132,r016,S&E -> Science -> Biological sciences -> Biochemistry,S&E,Science,Biological sciences,Biochemistry,,4,4481,343,13,385,151,5,2107,79,131,1267
1132,r017,S&E -> Science -> Biological sciences -> Biochemistry -> Full time    ,S&E,Science,Biological sciences,Biochemistry,Full time    ,5,4060,297,10,337,126,5,1915,72,104,1194
1132,r018,S&E -> Science -> Biological sciences -> Biochemistry -> Part time           ,S&E,Science,Biological sciences,Biochemistry,Part time           ,5,421,46,3,48,25,0,192,7,27,73
1132,r019,S&E -> Science -> Biological sciences -> Biology,S&E,Science,Biological sciences,Biology,,4,16380,1386,60,979,868,26,8942,342,623,3154
1132,r020,S&E -> Science -> Biological sciences -> Biology -> Full time    ,S&E,Science,Biological sciences,Biology,Full time    ,5,11800,970,42,753,600,8,6026,229,396,2776
1132,r021,S&E -> Science -> Biological sciences -> Biology -> Part time           ,S&E,Science,Biological sciences,Biology,Part time           ,5,4580,416,18,226,268,18,2916,113,227,378
1132,r022,S&E -> Science -> Biological sciences -> Biometry and epidemiology,S&E,Science,Biological sciences,Biometry and epidemiology,,4,9007,490,22,1083,552,21,3464,173,343,2859
1132,r023,S&E -> Science -> Biological sciences -> Biometry and epidemiology -> Full time    ,S&E,Science,Biological sciences,Biometry and epidemiology,Full time    ,5,7035,341,18,804,362,11,2580,143,234,2542
1132,r024,S&E -> Science -> Biological sciences -> Biometry and epidemiology -> Part time           ,S&E,Science,Biological sciences,Biometry and epidemiology,Part time           ,5,1972,149,4,279,190,10,884,30,109,317
1132,r025,S&E -> Science -> Biological sciences -> Biophysics,S&E,Science,Biological sciences,Biophysics,,4,941,57,2,95,13,2,466,17,39,250
1132,r026,S&E -> Science -> Biological sciences -> Biophysics -> Full time    ,S&E,Science,Biological sciences,Biophysics,Full time    ,5,923,57,2,94,13,2,457,16,39,243
1132,r027,S&E -> Science -> Biological sciences -> Biophysics -> Part time           ,S&E,Science,Biological sciences,Biophysics,Part time           ,5,18,0,0,1,0,0,9,1,0,7
1132,r028,S&E -> Science -> Biological sciences -> Botany and plant biology,S&E,Science,Biological sciences,Botany and plant biology,,4,1820,97,6,98,33,4,886,47,60,589
1132,r029,S&E -> Science -> Biological sciences -> Botany and plant biology -> Full time    ,S&E,Science,Biological sciences,Botany and plant biology,Full time    ,5,1650,93,5,90,29,4,786,39,46,558
1132,r030,S&E -> Science -> Biological sciences -> Botany and plant biology -> Part time           ,S&E,Science,Biological sciences,Botany and plant biology,Part time           ,5,170,4,1,8,4,0,100,8,14,31
1132,r031,S&E -> Science -> Biological sciences -> Cell and molecular biology,S&E,Science,Biological sciences,Cell and molecular biology,,4,6535,519,25,651,261,10,2995,140,231,1703
1132,r032,S&E -> Science -> Biological sciences -> Cell and molecular biology -> Full time    ,S&E,Science,Biological sciences,Cell and molecular biology,Full time    ,5,6073,483,23,592,229,9,2784,128,204,1621
