table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10252,r001,All agencies,All agencies,,,,,1,86244258,5349660,3569077,38177668,715493,8044401,3769968,1369741,13374364,11873886
10252,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10252,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2660820,28239,37974,2038836,9780,114525,13117,187251,107421,123677
10252,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6663,0,0,6663,0,0,0,0,0,0
10252,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1359363,1767,5981,1248847,0,87271,0,3262,12234,0
10252,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21101,0,0,21101,0,0,0,0,0,0
10252,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85476,0,0,0,0,0,0,85476,0,0
10252,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,233378,0,4688,180699,0,5149,0,34844,7996,0
10252,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5151,5151,0,0,0,0,0,0,0,0
10252,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,937440,21321,27304,569278,9780,22105,13117,63669,87190,123677
10252,r011,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,12248,0,0,12248,0,0,0,0,0,0
10252,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1505953,191659,541903,95746,11297,282839,0.05,52563,314308,15597
10252,r013,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,55936,14013,0,0,5692,0,0,36232,0,0
10252,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,784412,173961,9020,40274,3763,258897,0.05,399,298058,0
10252,r015,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,658725,3685,532883,55472,1842,23942,0,15932,9371,15597
